county,formal_credit_use_pct,institutional_channel_share_pct,rent_to_expenditure_pct,awareness_composite_pct,housing_finance_access_estimated_score_0_100
Kiambu,16.8,93.7,34.9,28.6,100.0
Nairobi,15.8,99.9,38.0,26.3,99.8
Migori,5.9,91.0,24.5,31.13,99.4
Tana River,2.3,100.0,22.3,23.3,99.2
Makueni,2.5,100.0,27.1,26.23,97.7
Baringo,7.6,91.2,25.8,28.53,97.6
Nyeri,12.4,100.0,38.2,25.53,96.0
Mombasa,23.4,88.3,34.6,21.83,95.3
Bomet,5.0,86.8,33.6,39.13,93.8
Homa Bay,1.3,100.0,24.7,20.23,93.4
Lamu,3.5,100.0,29.9,18.07,88.8
Turkana,2.4,100.0,27.7,16.7,88.5
Elgeyo-Marakwet,5.2,91.7,29.4,21.13,86.1
Siaya,2.0,100.0,34.4,20.4,85.5
Murang'a,17.0,83.4,39.8,26.87,85.0
Nakuru,7.8,82.7,33.3,28.67,83.6
Isiolo,1.1,100.0,32.6,16.93,83.2
Laikipia,9.3,77.2,33.8,32.6,83.1
Kakamega,0.5,100.0,42.0,26.53,82.8
Samburu,7.4,95.1,34.1,16.1,82.4
Kisumu,9.6,90.2,43.9,28.07,81.9
Marsabit,0.5,100.0,42.0,23.53,80.1
Narok,0.6,100.0,43.2,24.33,79.9
Kirinyaga,6.5,74.5,29.2,29.73,79.7
Kitui,1.4,100.1,33.8,13.87,79.7
Trans Nzoia,3.3,81.9,43.7,36.67,76.7
Nyamira,3.1,94.8,41.4,21.27,76.3
Nandi,5.2,74.5,36.5,32.9,74.8
Embu,7.8,67.6,35.8,33.57,72.2
Kericho,5.1,92.7,53.2,27.97,71.7
Tharaka-Nithi,8.2,85.6,35.5,12.9,70.4
Vihiga,2.7,78.9,33.4,22.13,69.7
Nyandarua,8.1,85.9,46.8,21.83,68.5
Bungoma,2.4,83.8,42.8,25.4,68.3
Machakos,6.8,78.5,34.6,18.0,68.2
Uasin Gishu,3.1,80.2,38.5,21.9,66.4
Kilifi,6.1,73.0,34.3,20.87,65.5
Kisii,3.2,95.7,54.6,19.5,63.8
West Pokot,0.7,100.0,46.9,9.17,63.1
Taita-Taveta,7.4,62.4,31.5,21.83,60.5
Kwale,4.9,64.9,27.4,16.33,59.3
Meru,3.6,66.6,31.8,19.9,58.9
Kajiado,4.4,100.0,64.7,14.1,54.9
Busia,0.5,0,35.4,27.47,0.0
