county,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25
Mombasa,5,101,5,4,29,31,,,,,,,,,,,,,,,,,,,
Kwale,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,
Kilifi,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,
Tana River,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,
Lamu,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,
Taita-Taveta,..,2,..,..,..,2,,,,,,,,,,,,,,,,,,,
Garissa,53,44,53,44,26,25,,,,,,,,,,,,,,,,,,,
Wajir,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,
Mandera,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,
Marsabit,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,
Isiolo,27,24,20,6,18,21,,,,,,,,,,,,,,,,,,,
Meru,9,11,9,1,2.3,2.3,,,,,,,,,,,,,,,,,,,
Tharaka-Nithi,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,
Embu,1817,543,1705,47,14,14,,,,,,,,,,,,,,,,,,,
Kitui,3,4,1,3,2.5,2.5,,,,,,,,,,,,,,,,,,,
Machakos,113,123,74,18,7.9,9.9,,,,,,,,,,,,,,,,,,,
Makueni,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,
Nyandarua,495,224,297,104,..,..,,,,,,,,,,,,,,,,,,,
Nyeri,801,813,461,515,20.3,21.3,,,,,,,,,,,,,,,,,,,
Kirinyaga,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,
Murang'a,400,510,100,300,4.8,5,,,,,,,,,,,,,,,,,,,
Kiambu,601,1531,374,718,3.6,18.3,,,,,,,,,,,,,,,,,,,
Turkana,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,
West Pokot,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,
Samburu,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,
Uasin Gishu,180,200,162,20,32,32,,,,,,,,,,,,,,,,,,,
Elgeyo-Marakwet,1200,1220,..,..,..,..,,,,,,,,,,,,,,,,,,,
Nandi,11,13,9,9,1,1,,,,,,,,,,,,,,,,,,,
Baringo,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,
Laikipia,406,408,246,55,25,25,,,,,,,,,,,,,,,,,,,
Nakuru,651,702,447,235,19.3,20.7,,,,,,,,,,,,,,,,,,,
Narok,62,51,4,6,1,2,,,,,,,,,,,,,,,,,,,
Kajiado,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,
Kericho,120,70,80,20,17,17,,,,,,,,,,,,,,,,,,,
Bomet,120,130,90,98,15,17,,,,,,,,,,,,,,,,,,,
Kakamega,200,312,140,148,6.5,7,,,,,,,,,,,,,,,,,,,
Vihiga,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,
Bungoma,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,
Busia,36,32,22,15,2,2,,,,,,,,,,,,,,,,,,,
Siaya,12,16,10,9,4,4,,,,,,,,,,,,,,,,,,,
Kisumu,77,103,27,50,62.3,62.3,,,,,,,,,,,,,,,,,,,
Homa Bay,30,28,14,16,47,52,,,,,,,,,,,,,,,,,,,
Migori,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,
Nairobi,5192,5385,4202,4726,27.5,34,,,,,,,,,,,,,,,,,,,
