county,value_1,value_2,value_3,value_4
Mombasa,5,5,2500,1900
Kwale,10,..,10000,..
Kilifi,5,..,10000,..
Tana River,2,..,5000,5000
Lamu,3,..,5000,..
Taita-Taveta,21,21,2500,2500
Garissa,7,7,2500,3000
Wajir,1,..,1000,..
Mandera,8,..,12000,..
Marsabit,4,..,8700,..
Isiolo,3,3,5200,2500
Meru,5,2,2500,25133
Tharaka-Nithi,10,..,10000,12100
Embu,2,..,12470,5000
Kitui,18,11,15500,13500
Machakos,4,3,21700,10800
Makueni,5,..,13000,..
Nyandarua,5,1,11000,7500
Nyeri,7,2,2500,2500
Kirinyaga,11,..,10000,..
Murang'a,8,0,2500,2500
Kiambu,4,3,2500,5000
Turkana,3,..,2000,..
West Pokot,3,..,3200,..
Samburu,2,..,4500,..
Uasin Gishu,14,3,5000,5000
Elgeyo-Marakwet,5,..,4000,..
Nandi,14,1,5715,2500
Baringo,6,..,2600,..
Laikipia,5,8,10004,5634
Nakuru,4,6,5585,5313
Narok,5,7,5000,5000
Kajiado,3,0,6695,..
Kericho,3,1,5000,5000
Bomet,24,3,2500,2500
Kakamega,7,4,1600,2500
Vihiga,7,..,5000,..
Bungoma,7,7,5000,7500
Busia,1,1,2000,5500
Siaya,7,7,5000,7500
Kisumu,3,3,12550,5000
Homa Bay,2,2,5000,5000
Migori,1,..,8800,..
Nairobi,7,4,10000,7500
