county,value_1,value_2
Mombasa,30,
Kwale,..,
Kilifi,30,
Tana River,..,
Lamu,30,
Taita-Taveta,14,
Garissa,4,
Wajir,14,
Mandera,7,
Marsabit,1,
Isiolo,7,
Meru,10,
Tharaka-Nithi,14,
Embu,14,
Kitui,14,
Machakos,14,
Makueni,30,
Nyandarua,21,
Nyeri,21,
Kirinyaga,14,
Murang'a,30,
Kiambu,30,
Turkana,3,
West Pokot,2,
Samburu,5,
Trans Nzoia,30,
Uasin Gishu,7,
Elgeyo-Marakwet,30,
Nandi,14,
Baringo,6,
Laikipia,21,
Nakuru,50,
Narok,30,
Kajiado,14,
Kericho,7,
Bomet,3,
Kakamega,30,
Vihiga,14,
Bungoma,5,
Busia,14,
Siaya,14,
Kisumu,30,
Homa Bay,4,
Migori,14,
Nyamira,4,
Nairobi,14,
