county,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10
Mombasa,..,..,..,..,23,21,16,23,32,39
Kwale,..,..,..,..,..,..,..,..,..,..
Kilifi,..,3,..,2,6,..,..,..,4,22
Tana River,..,..,..,2,2,1,3,3,3,..
Lamu,..,..,..,1,..,..,..,..,..,..
Taita-Taveta,5,47,5,55,2,56,3,52,..,23
Garissa,74,14,84,12,103,8,100,13,73,43
Wajir,1,..,2,..,1,..,1,..,1,..
Mandera,..,..,..,..,..,..,..,..,..,2
Marsabit,..,..,..,..,..,..,..,..,..,..
Isiolo,..,..,..,..,..,..,1,..,..,..
Meru,..,..,..,..,..,..,..,..,..,..
Tharaka-Nithi,..,3,..,4,..,5,..,4,..,6
Embu,10,10,9,6,7,2,22,5,16,3
Kitui,8,7,10,..,13,4,12,8,8,..
Machakos,61,96,54,127,83,133,105,157,109,189
Makueni,..,..,..,..,..,..,..,..,..,..
Nyandarua,..,34,..,74,..,96,10,115,8,94
Nyeri,..,..,..,..,..,..,..,..,..,..
Kirinyaga,..,..,..,..,..,..,74,..,101,..
Murang'a,..,..,..,..,..,..,..,..,95,5
Kiambu,..,..,..,..,..,..,..,..,..,..
Turkana,..,..,..,..,..,1,2,..,1,2
West Pokot,2,1,3,2,..,..,1,1,2,2
Samburu,..,..,..,..,..,..,..,1,..,..
Trans Nzoia,2,3,6,6,10,10,..,1,14,12
Uasin Gishu,..,..,..,..,..,..,..,..,..,..
Elgeyo-Marakwet,..,..,..,..,..,..,..,2,..,3
Nandi,14,8,22,12,16,16,7,4,10,2
Baringo,2,3,4,6,1,11,3,5,1,1
Laikipia,2,..,4,1,5,3,4,2,7,3
Nakuru,120,500,80,120,60,90,150,650,98,692
Narok,..,40,..,48,..,56,..,..,..,56
Kajiado,15,5,20,5,..,..,30,10,18,2
Kericho,10,12,10,3,9,10,4,5,1,9
Bomet,2,17,19,3,2,18,1,19,2,21
Kakamega,..,..,..,..,..,..,..,..,11,1
Vihiga,..,..,..,..,..,..,1,..,5,2
Bungoma,6,4,5,6,4,19,2,2,3,3
Busia,..,..,..,..,..,..,..,..,70,12
Siaya,..,..,7,8,14,16,19,21,23,22
Kisumu,..,..,50,7,..,..,..,..,..,..
Homa Bay,..,5,..,8,..,10,..,15,..,20
Migori,..,4,..,4,..,6,..,8,1,10
Nyamira,2,4,1,..,..,3,..,1,1,2
Nairobi,615,415,715,683,1245,1758,1458,758,1582,967
