county,value_1,value_2,value_3,value_4,value_5,value_6
Mombasa,..,..,..,..,..,..
Kwale,..,..,..,..,..,..
Kilifi,30,5,5,5,..,..
Tana River,..,..,..,..,..,..
Lamu,..,..,1,1,..,..
Taita-Taveta,3,3,1,1,..,..
Garissa,8,..,5,..,..,..
Wajir,7,..,1,1,..,..
Mandera,3,1,..,..,..,..
Marsabit,2,2,4,2,..,..
Isiolo,..,..,7,1,..,..
Meru,..,..,..,..,..,..
Tharaka-Nithi,1,1,1,1,..,..
Embu,..,..,..,..,..,..
Kitui,..,..,2,2,..,..
Machakos,20,20,4,4,..,..
Makueni,23,23,2,2,..,..
Nyandarua,4,..,1,..,..,..
Nyeri,..,..,..,..,..,..
Kirinyaga,..,..,..,..,..,..
Murang'a,3,..,1,..,..,..
Kiambu,..,..,..,..,..,..
Turkana,7,..,2,..,..,..
West Pokot,15,3,2,..,..,..
Samburu,30,5,1,1,..,..
Trans Nzoia,73,24,1,1,..,..
Uasin Gishu,30,17,1,1,..,..
Elgeyo-Marakwet,67,7,1,1,..,..
Nandi,1,..,2,1,..,..
Baringo,145,20,1,1,..,..
Laikipia,40,11,2,2,..,..
Nakuru,29,29,4,2,1,1
Narok,11,11,2,2,..,..
Kajiado,5,5,3,3,..,..
Kericho,4,2,2,2,..,..
Bomet,4,4,5,5,..,..
Kakamega,3,3,2,2,..,..
Vihiga,..,..,..,..,..,..
Bungoma,10,1,2,2,..,..
Busia,10,10,2,2,..,..
Siaya,..,4,..,3,..,..
Kisumu,..,..,..,..,1,1
Homa Bay,1,1,3,2,..,..
Migori,..,..,..,..,..,..
Nyamira,3,1,1,1,..,..
Nairobi,..,..,..,..,126,79
