county,value_1,value_2,value_3,value_4,value_5,value_6
Mombasa,1600,1820,1220,1430,380,450
Kwale,1518,1208,1502,1168,16,20
Kilifi,3086,1757,..,..,..,..
Tana River,160,75,123,65,5,3
Lamu,50,50,40,10,..,..
Taita-Taveta,1933,1640,1754,1544,179,96
Garissa,300,382,258,320,42,62
Wajir,102,426,102,426,..,..
Mandera,910,840,893,158,684,6
Marsabit,80,200,18,50,..,..
Isiolo,345,457,344,450,1,7
Meru,1475,1480,1212,1013,255,241
Tharaka-Nithi,1273,1069,1131,218,..,..
Embu,4491,4166,4255,3971,236,195
Kitui,629,569,371,338,258,231
Machakos,1132,1039,797,571,170,152
Makueni,450,420,285,291,..,..
Nyandarua,981,786,803,661,96,89
Nyeri,4485,5000,3725,4185,304,259
Kirinyaga,1856,1302,148,1158,-,-
Murang'a,7119,7059,6349,5178,721,842
Kiambu,9877,9592,7202,6572,2195,2227
Turkana,256,576,215,526,41,50
West Pokot,652,232,637,5,..,..
Samburu,180,220,12,28,168,192
Uasin Gishu,2681,2682,2598,2576,83,106
Elgeyo-Marakwet,8280,8580,5880,6140,1200,1220
Nandi,387,261,327,126,..,..
Baringo,737,833,730,801,7,32
Laikipia,2963,2104,2868,1139,27,19
Nakuru,3542,2802,3083,2392,414,395
Narok,58,43,12,9,31,28
Kajiado,479,562,466,533,170,29
Kericho,422,354,275,231,147,123
Bomet,852,767,639,574,213,192
Kakamega,2148,3440,1464,1814,224,201
Vihiga,..,251,..,250,..,..
Bungoma,1539,1448,1397,1404,142,38
Busia,397,456,204,351,193,105
Siaya,1683,979,1625,939,251,270
Kisumu,2991,3440,2056,977,2,..
Homa Bay,1052,352,1005,227,47,125
Migori,89,786,69,726,20,60
Nairobi,5244,5715,4234,1229,4736,1621
