county,value_1,value_2
Mombasa,5927972,5947731
Kwale,2470000,3610000
Kilifi,597782,562336
Tana River,650881,476954
Lamu,21247,259444
Taita-Taveta,3371399,3332827
Garissa,3000000,3500000
Wajir,368064,720168
Mandera,545420,534095
Marsabit,67200,86400
Isiolo,1685549,1507078
Meru,3734969,3783438
Tharaka-Nithi,6210781,6135266
Embu,2169073,2459134
Kitui,2206388,2165073
Machakos,1363657,1108339
Makueni,1402809,1550656
Nyandarua,2974399,2968003
Nyeri,11447155,10897940
Kirinyaga,2729969,2752087
Murang'a,12950265,13583042
Kiambu,13097664,15458490
Turkana,901274,974959
