county,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10
Mombasa,0,28,28,0,560,560,,,,
Kwale,14,11,25,280,220,500,,,,
Kilifi,14,12,26,280,240,520,,,,
Tana River,13,11,24,260,220,480,,,,
Lamu,12,10,22,240,200,440,,,,
Taita-Taveta,14,11,25,280,220,500,,,,
Garissa,17,13,30,340,260,600,,,,
Wajir,25,18,43,500,360,860,,,,
Mandera,21,17,38,420,340,760,,,,
Marsabit,15,12,27,300,240,540,,,,
Isiolo,11,11,22,220,220,440,,,,
Meru,18,11,29,360,220,580,,,,
Tharaka-Nithi,15,9,24,300,180,480,,,,
Embu,14,9,23,280,180,460,,,,
Kitui,22,12,34,440,240,680,,,,
Machakos,19,16,35,380,320,700,,,,
Makueni,15,9,24,300,180,480,,,,
Nyandarua,15,9,24,300,180,480,,,,
Nyeri,15,11,26,300,220,520,,,,
Kirinyaga,14,10,24,280,200,480,,,,
Murang'a,15,9,24,300,180,480,,,,
Kiambu,10,12,22,200,240,440,,,,
Turkana,16,11,27,320,220,540,,,,
West Pokot,18,10,28,360,200,560,,,,
Samburu,16,12,28,320,240,560,,,,
Trans Nzoia,13,9,22,260,180,440,,,,
Uasin Gishu,13,14,27,260,280,540,,,,
Elgeyo-Marakwet,15,8,23,300,160,460,,,,
Nandi,15,9,24,300,180,480,,,,
Baringo,14,9,23,280,180,460,,,,
Laikipia,13,11,24,260,220,480,,,,
Nakuru,20,21,41,400,420,820,,,,
Narok,15,10,25,300,200,500,,,,
Kajiado,13,15,28,260,300,560,,,,
Kericho,15,10,25,300,200,500,,,,
Bomet,16,8,24,320,160,480,,,,
Kakamega,18,11,29,360,220,580,,,,
Vihiga,16,10,26,320,200,520,,,,
Bungoma,18,11,29,360,220,580,,,,
Busia,15,10,25,300,200,500,,,,
Siaya,15,9,24,300,180,480,,,,
Kisumu,15,14,29,300,280,580,,,,
Homa Bay,15,9,24,300,180,480,,,,
Migori,13,9,22,260,180,440,,,,
Kisii,19,12,31,380,240,620,,,,
Nyamira,16,9,25,320,180,500,,,,
Nairobi,0,63,63,0,1260,1260,,,,
