county,value_1,value_2,value_3
Mombasa,60.3,56.7,58.5
Kwale,44.4,40.9,42.7
Kilifi,55.6,45.8,50.7
Tana River,42.6,28.8,35.5
Lamu,53.5,49,51.3
Taita-Taveta,60,60.7,60.3
Garissa,51.7,48,49.8
Wajir,44.1,43.8,43.9
Mandera,45.5,41.3,43.4
Marsabit,37,32.6,34.8
Isiolo,47.8,48,47.9
Meru,57.2,53.6,55.4
Tharaka-Nithi,58.3,60.2,59.3
Embu,59.1,60.8,60
Kitui,50.2,54.5,52.4
Machakos,59.2,62.5,60.9
Makueni,57.7,55.3,56.5
Nyandarua,63.9,63.8,63.9
Nyeri,60.4,61.5,61
Kirinyaga,63.6,66.3,65
Murang'a,60.2,64.4,62.3
Kiambu,60.9,63.3,62.1
Turkana,31.7,27.1,29.4
West Pokot,32.4,25.7,29
Samburu,39.7,33.9,36.8
Trans Nzoia,54.1,55.3,54.7
Uasin Gishu,58.3,56.2,57.2
Elgeyo-Marakwet,47.7,46.3,47
Nandi,52,52.4,52.2
Baringo,44.6,43.8,44.2
Laikipia,56.5,59.2,57.9
Nakuru,59.1,57.6,58.4
Narok,42.4,36.3,39.3
Kajiado,52.6,52.3,52.4
Kericho,52,52.5,52.2
Bomet,46.6,43.2,44.9
Kakamega,53.7,52.7,53.2
Vihiga,50.2,51.5,50.9
Bungoma,54.9,54.2,54.6
Busia,50.7,47.7,49.2
Siaya,48.4,48,48.2
Kisumu,55.6,51.2,53.4
Homa Bay,48.1,45,46.5
Migori,46.2,40.9,43.5
Kisii,56.5,56.7,56.6
Nyamira,57.2,57.7,57.4
Nairobi,69.2,66.3,67.7
