county,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15
Mombasa,23.5,0,23.5,71.8,0,71.8,4.5,0,4.5,0.2,0,0.2,405415,0,405415
Kwale,72.3,79.6,45.5,19.9,11.5,51,7.8,8.9,3.5,0,0,0,183739,144491,39248
Kilifi,68.7,89.8,33.9,24.3,2.8,59.6,6.4,6.4,6.5,0.6,1,0,407221,253356,153865
Tana River,70.2,82.4,41.3,22.5,9.9,52.6,6.9,7.3,5.8,0.4,0.4,0.3,74962,52849,22113
Lamu,44.2,51.9,26.3,27.6,13.2,60.8,19.3,22.1,12.9,9,12.8,0,40543,28324,12219
Taita-Taveta,60.2,70.6,37.3,28,17.7,50.9,11.8,11.7,11.8,0,0,0,108463,74647,33816
Garissa,73.7,82,50.8,11.5,0.7,41.5,8.5,9.1,7.1,6.2,8.2,0.6,180468,132499,47970
Wajir,89.3,90.1,87,1.7,0.3,6,8.9,9.6,6.7,0.1,0,0.3,152058,116110,35948
Mandera,61,62.7,57.4,6.1,1.6,15.7,18.9,19.7,17.2,14,15.9,9.7,167096,114212,52884
Marsabit,86.6,97.5,56,7,0.9,23.8,6.5,1.5,20.3,0,0,0,87421,64361,23060
Isiolo,72.8,98,49.9,23.3,0,44.5,3.4,0.9,5.6,0.5,1.1,0,63947,30465,33482
Meru,77.2,83.4,31.3,20.7,14.8,64.3,1.7,1.4,3.7,0.4,0.4,0.8,463535,408180,55354
Tharaka-Nithi,80.9,86.1,38,18.6,13.5,60.1,0.6,0.4,1.9,0,0,0,120886,107816,13070
Embu,78.9,90.2,16.7,19.7,8.3,81.7,0.8,0.7,1.6,0.6,0.7,0,199046,168359,30687
Kitui,66.1,71,4.6,28.7,23.7,91.9,5.3,5.4,3.5,0,0,0,275514,255301,20213
Machakos,69,93.5,24.9,26.9,2.8,70.4,3.9,3.5,4.8,0.2,0.3,0,430469,276728,153741
Makueni,85.4,95,8.6,11.7,2.2,89,2.8,2.9,2.4,0,0,0,257105,228731,28374
Nyandarua,62.8,69,21.3,25.2,18,73.7,12,13,5,0,0,0,198250,172422,25827
Nyeri,56.2,68.5,14.3,32.7,19,79.4,11.1,12.5,6.3,0,0,0,270743,209337,61407
Kirinyaga,71.5,85.7,27.1,22.7,7.7,69.6,5.8,6.6,3.3,0,0,0,217216,164590,52626
Murang'a,77.8,80.6,58.7,18,14.8,39.7,4.2,4.6,1.6,0,0,0,385599,335245,50354
Kiambu,44.8,68.1,36.5,46.6,18.8,56.5,7.5,8.9,7,1.1,4.2,0,997101,261215,735886
Turkana,86.7,92.1,62.9,6.5,1.1,30.1,6.1,6,6.9,0.7,0.9,0,219588,179087,40501
West Pokot,90.1,95.4,24.8,8.8,3.6,73.9,0.3,0.2,1.4,0.8,0.8,0,183115,169519,13595
Samburu,74.5,86.1,27,23.2,12,69.4,2,1.6,3.6,0.3,0.4,0,95708,77010,18698
Trans Nzoia,67.8,79.7,26,27.5,15.5,69.9,4.6,4.9,3.5,0.1,0,0.5,266538,207482,59056
Uasin Gishu,49.8,87.6,17,47.2,7.5,81.7,2.9,4.8,1.2,0.1,0,0.2,351899,163563,188336
Elgeyo-Marakwet,85,89.1,22.5,12.8,8.7,75.2,2.1,2.1,1.6,0,0,0.7,110356,103569,6787
Nandi,77.6,82.4,30.7,13.5,8.1,65.5,9,9.5,3.8,0,0,0,226515,205427,21088
Baringo,86,96.9,28.5,12.1,1.4,68.8,1.6,1.4,2.8,0.3,0.3,0,157303,132342,24961
Laikipia,52.5,64.7,23,34.5,18.2,73.7,10.1,12.9,3.3,2.9,4.2,0,154631,109279,45351
Nakuru,51.6,83.7,25.3,44.3,10.7,71.9,3.5,4.7,2.6,0.5,0.9,0.2,673026,303230,369795
Narok,71.7,82.1,4.4,22.9,12.2,92.1,4.1,4.2,3.5,1.3,1.5,0,263863,228600,35263
Kajiado,41.1,83.4,19.3,53,12.2,74,5.5,3.9,6.4,0.4,0.4,0.4,371234,126274,244960
Kericho,82.6,94.8,13.5,15.8,3.7,84.9,1,0.9,1.6,0.5,0.6,0,233615,198666,34949
Bomet,87.4,91,20.3,6.3,2.9,69.8,1.9,1.8,3.8,4.4,4.3,6.1,219222,208282,10940
Kakamega,78.9,87.3,20.9,16.4,7.8,75.5,4.1,4.2,3,0.7,0.7,0.6,484205,422956,61248
Vihiga,92.5,95.8,65.9,7,3.8,32.4,0.5,0.4,1.6,0,0,0,160520,142719,17800
Bungoma,79.2,84.9,44.6,17.7,12.4,50.1,3,2.7,4.7,0.1,0,0.6,470168,403710,66458
Busia,81.9,91.5,29.3,14.8,5.7,64.3,3.3,2.8,6.4,0,0,0,216855,183163,33692
Siaya,84.8,92.5,16,12,4.7,78.2,2.3,2,5.3,0.8,0.8,0.5,247647,222889,24758
Kisumu,62.8,92.4,23.8,32.6,2.3,72.6,3.6,3.6,3.6,1,1.7,0,338619,192568,146051
Homa Bay,85.1,94.3,17.4,12.3,4.4,70.9,1.5,1,5.2,1.1,0.3,6.5,270043,237766,32277
Migori,82.3,94.7,26,16.3,4.2,71.5,1.4,1.1,2.4,0,0,0,267547,219503,48044
Kisii,81.2,92.1,19.2,16.9,6.4,76.5,1.2,0.8,3.1,0.7,0.7,1.2,371985,316452,55533
Nyamira,84.6,88,52.1,8.4,5.1,41.3,5.9,5.9,5.9,1,1,0.7,183594,166629,16965
Nairobi,7.7,,7.7,88.8,,88.8,3.1,,3.1,0.5,,0.5,1661533,,1661533
