county,value_1,value_2,value_3,value_4,value_5,value_6
Mombasa,39.9,35.6,16.2,6.3,1.1,0.9
Kwale,28.4,32.5,21.7,11.4,3.5,2.5
Kilifi,39.7,28.2,19.4,8.6,2.5,1.7
Tana River,21,30.5,29.1,14.9,3.4,1
Lamu,38.4,35.3,21,3.5,1.3,0.5
Taita-Taveta,45.3,27.1,18.1,7.4,1.4,0.7
Garissa,27.1,28.6,22.5,11.9,5,4.9
Wajir,15.2,39.5,32.2,10.8,2,0.4
Mandera,10,21.8,33.5,26.3,7.1,1.4
Marsabit,11.1,26.1,32.2,22.8,6.1,1.7
Isiolo,13.9,25.4,32.9,19.6,6.2,2
Meru,33.1,36.5,25.1,4.3,1,0
Tharaka-Nithi,35.5,38.7,20.1,4.9,0.2,0.6
Embu,39.2,41.9,15.6,2.8,0.3,0.3
Kitui,39.5,29.7,20.2,8,2,0.6
Machakos,38.5,38,19.5,3.1,0.7,0.2
Makueni,36.7,37.3,20.3,4.1,1.3,0.4
Nyandarua,39.1,33.3,22.4,4.9,0.4,0
Nyeri,55.4,29.2,14.4,0.3,0.7,0
Kirinyaga,46.5,36.3,15.2,1.2,0.7,0
Murang'a,40.6,33.7,18.3,6.4,0.1,0.9
Kiambu,46.7,32.1,17.1,2.4,1.7,0
Turkana,16.8,24.8,30.3,19.7,6.6,1.8
West Pokot,16.6,26.6,33.1,14.8,6.3,2.7
Samburu,16.2,28.4,33.7,16.5,4.6,0.6
Trans Nzoia,20.6,40,25.5,11.6,2.3,0
Uasin Gishu,39.2,32.5,20.8,5.5,1.8,0.2
Elgeyo-Marakwet,20.9,25.5,30.1,11.2,8.4,3.9
Nandi,28.7,29.5,30.5,9.1,1.8,0.4
Baringo,17.1,28.4,30,16.3,3.7,4.5
Laikipia,46.8,29.1,19.4,4.1,0.6,0
Nakuru,35,35.4,22.2,5.7,1.3,0.4
Narok,19.1,33.9,28.6,14.3,3.2,0.8
Kajiado,41.2,45.3,12,1.2,0.2,0.2
Kericho,27.1,25.6,30.3,11.6,5.1,0.3
Bomet,24.3,29,27.1,15.7,3.6,0.4
Kakamega,37.6,32.1,23,6.1,1.1,0
Vihiga,35.7,32.5,23.1,7.2,1.1,0.4
Bungoma,25.6,34.3,29.2,9.3,1.2,0.3
Busia,24.5,31.2,27.6,11.8,3.3,1.6
Siaya,26.4,30.1,26.1,13,3.1,1.3
Kisumu,33.5,36.2,20.5,8.3,0.8,0.7
Homa Bay,20,26.4,32.8,15.4,4.6,0.9
Migori,20.7,23,32.7,18,4.3,1.3
Kisii,30,34.9,23.2,9.6,1.9,0.2
Nyamira,30,29.5,30,7.8,2.6,0.1
Nairobi,41.7,40,14.8,3.3,0.2,0.1
