county,value_1,value_2,value_3
Mombasa,7.9,11,9.5
Kwale,7.4,10.5,9
Kilifi,5.9,8.8,7.4
Tana River,3.2,3.4,3.3
Lamu,1.6,2.8,2.2
Taita-Taveta,19.5,20.6,20.1
Garissa,4.2,3.9,4.1
Wajir,10.4,7.9,9.1
Mandera,8.1,9.3,8.7
Marsabit,7.4,5.8,6.6
Isiolo,14.5,16.2,15.4
Meru,16.1,19,17.5
Tharaka-Nithi,11.8,10.7,11.2
Embu,13.8,10.6,12.2
Kitui,16.3,14.1,15.2
Machakos,13.1,12.3,12.7
Makueni,10.4,10.1,10.3
Nyandarua,22.5,22,22.2
Nyeri,20.8,15.3,18
Kirinyaga,13.5,12,12.7
Murang'a,16.2,14,15.1
Kiambu,13.6,13.7,13.7
Turkana,7.9,11,9.4
West Pokot,14.8,14.7,14.8
Samburu,7,10.3,8.7
Trans Nzoia,5.4,6.1,5.7
Uasin Gishu,19.9,21.2,20.5
Elgeyo-Marakwet,7.1,9.7,8.4
Nandi,3.8,4.5,4.2
Baringo,6.5,8.9,7.7
Laikipia,21.3,20.4,20.8
Nakuru,19.8,22,20.9
Narok,2.4,1.7,2
Kajiado,3.7,4.3,4
Kericho,9,7.1,8
Bomet,2.3,1.9,2
Kakamega,13.6,14.5,14
Vihiga,4.4,5.8,5.1
Bungoma,13.3,12.4,12.9
Busia,17.1,17.7,17.4
Siaya,14.2,14.7,14.5
Kisumu,2.4,5,3.7
Homa Bay,5.7,7.6,6.7
Migori,10.5,10.4,10.4
Kisii,3.4,2.8,3.1
Nyamira,2.9,3.8,3.3
Nairobi,13.2,13.9,13.6
