county,value_1,value_2,value_3,value_4
Mombasa,9.3,9.3,,
Kwale,3.9,0,,
Kilifi,2.5,40.1,,
Tana River,4.8,0,,
Lamu,0,0,,
Taita-Taveta,9.3,33,,
Garissa,1.6,0,,
Wajir,0,0,,
Mandera,4.3,86.6,,
Marsabit,10.2,0,,
Isiolo,8.7,0,,
Meru,14.2,28.3,,
Tharaka-Nithi,2.7,10.9,,
Embu,2.7,0,,
Kitui,5,0,,
Machakos,4.9,15.5,,
Makueni,5.9,0,,
Nyandarua,12.9,9.7,,
Nyeri,6,7.3,,
Kirinyaga,8.3,9.3,,
Murang'a,5.1,0,,
Kiambu,8.8,19.7,,
Turkana,2.1,0,,
West Pokot,7.9,2.7,,
Samburu,6.3,24.8,,
Trans Nzoia,6.5,19.1,,
Uasin Gishu,8.4,4.6,,
Elgeyo-Marakwet,4.5,15.8,,
Nandi,17.9,4.7,,
Baringo,5.1,19.8,,
Laikipia,6,52.1,,
Nakuru,8.2,15.3,,
Narok,1.8,0,,
Kajiado,3.4,0,,
Kericho,5.6,0,,
Bomet,1.7,0,,
Kakamega,2.1,30.4,,
Vihiga,0,0,,
Bungoma,0.4,0,,
Busia,2.3,0,,
Siaya,7.9,0,,
Kisumu,7.7,32.2,,
Homa Bay,6.6,0,,
Migori,13.7,21.6,,
Kisii,1.8,11.1,,
Nyamira,1.2,0,,
Nairobi,11.1,9.7,,
