county,value_1,value_2,value_3
Mombasa,,34.6,34.6
Kwale,27.8,27.3,27.4
Kilifi,17,35.4,34.3
Tana River,20.5,22.7,22.3
Lamu,24.1,31.3,29.9
Taita-Taveta,25.3,34,31.5
Garissa,15,35.9,35.5
Wajir,73.9,32.5,38.9
Mandera,16.4,29.2,28.2
Marsabit,50.3,41.4,42
Isiolo,,32.6,32.6
Meru,23.7,35.2,31.8
Tharaka-Nithi,27.4,38.2,35.5
Embu,30.3,36.8,35.8
Kitui,33.8,33.7,33.8
Machakos,29.5,34.9,34.6
Makueni,19.1,27.5,27.1
Nyandarua,36,51.7,46.8
Nyeri,30.9,40.8,38.2
Kirinyaga,27.7,29.5,29.2
Murang'a,23.4,50.3,39.8
Kiambu,29.9,36.1,34.9
Turkana,21.7,28,27.7
West Pokot,45.3,47.1,46.9
Samburu,37.4,33.7,34.1
Trans Nzoia,43.5,43.7,43.7
Uasin Gishu,24.5,39.8,38.5
Elgeyo-Marakwet,21.6,31.6,29.4
Nandi,28.5,38.4,36.5
Baringo,10.6,26.3,25.8
Laikipia,28.7,35.1,33.8
Nakuru,24.5,34.6,33.3
Narok,19.7,48,43.2
Kajiado,41.5,67.4,64.7
Kericho,59.1,52.8,53.2
Bomet,30.6,33.9,33.6
Kakamega,38.9,42.5,42
Vihiga,31.7,33.8,33.4
Bungoma,43.4,42.5,42.8
Busia,26.1,36.9,35.4
Siaya,40.5,33.8,34.4
Kisumu,21,44.7,43.9
Homa Bay,12.7,26.1,24.7
Migori,14.9,25.4,24.5
Kisii,43.4,56.1,54.6
Nyamira,27.7,44.6,41.4
Nairobi,,38,38
