county,value_1,value_2,value_3,value_4,value_5
Mombasa,0,2.6,70,27.5,0
Kwale,0,6.6,81.2,12.2,0
Kilifi,0.8,1.2,93.4,4.6,0
Tana River,0,0.8,96.9,2.3,0
Lamu,2.6,1.4,94.9,1.1,0
Taita-Taveta,11.4,0,83,5.6,0
Garissa,5,3.4,90.6,1,0
Wajir,0,7.2,64.2,28.6,0
Mandera,0,0,90.9,9.1,0
Marsabit,0,0,93.5,6.5,0
Isiolo,0,12.8,75.8,11.5,0
Meru,0,3.1,94.4,2.6,0
Tharaka-Nithi,0,0,93,7,0
Embu,10.7,2.7,82.6,3.5,0.5
Kitui,1.9,0.1,96.6,1.3,0.2
Machakos,5.6,1,70.7,22.7,0
Makueni,0,0,90,10,0
Nyandarua,0,4,85.8,10,0.3
Nyeri,0.8,0.9,84.3,13.2,0.8
Kirinyaga,0,1.5,87.4,11.1,0
Murang'a,0,0,95.8,3.6,0.6
Kiambu,4.3,0.3,77,18.3,0
Turkana,0,0,95.2,4.8,0
West Pokot,0,4.1,88.1,7.8,0
Samburu,0,0,84.6,15.4,0
Trans Nzoia,0,0,93.9,6.1,0
Uasin Gishu,0,2.9,71.3,25.9,0
Elgeyo-Marakwet,0,0.8,97,2.2,0
Nandi,0,0.7,94.8,4.5,0
Baringo,0,1,71.8,27.2,0
Laikipia,0.3,2.5,61.2,36,0
Nakuru,0,0.7,64.2,35.1,0
Narok,0,0.2,92.5,7.3,0
Kajiado,0,3.9,66.9,29.2,0
Kericho,2.5,2.6,83,11.9,0
Bomet,4,13.4,80.5,2.1,0
Kakamega,0,0.6,85.5,13.8,0
Vihiga,1.5,0,91.6,6.9,0
Bungoma,0,0.6,88.3,11.1,0
Busia,6.6,0,90.2,3.2,0
Siaya,3,2.9,70.8,23.3,0
Kisumu,0,4.7,86.6,8.7,0
Homa Bay,0,2.2,84.5,12.1,1.1
Migori,9.1,2.4,82.4,6.1,0
Kisii,0,0,93.2,6.8,0
Nyamira,0,1.6,89.7,8.7,0
Nairobi,1,5.3,69.8,24,0
