county,value_1
Mombasa,23.4
Kwale,13.5
Kilifi,6.9
Tana River,3.7
Lamu,27.1
Taita-Taveta,50.2
Garissa,24.6
Wajir,39.4
Mandera,0
Marsabit,16.4
Isiolo,16.4
Meru,8.6
Tharaka-Nithi,12.6
Embu,24.8
Kitui,10
Machakos,18.1
Makueni,14.6
Nyandarua,22
Nyeri,21.6
Kirinyaga,22.1
Murang'a,9.2
Kiambu,37.7
Turkana,11.6
West Pokot,12
Samburu,7.7
Trans Nzoia,40.5
Uasin Gishu,29.3
Elgeyo-Marakwet,8
Nandi,18.5
Baringo,11.9
Laikipia,26.4
Nakuru,27.8
Narok,6.9
Kajiado,69.4
Kericho,15.4
Bomet,20.6
Kakamega,17.1
Vihiga,18.8
Bungoma,6.9
Busia,11.7
Siaya,8.2
Kisumu,24.8
Homa Bay,27.9
Migori,20.9
Kisii,12.7
Nyamira,19
Nairobi,33.9
