county,category_1,value_1,value_2
Mombasa,Bungalow,1,6000
Mombasa,Bungalow,2,10000
Mombasa,Bungalow,4,30000
Mombasa,Flat / Apartment,0,6000
Mombasa,Flat / Apartment,1,9500
Mombasa,Flat / Apartment,2,15000
Mombasa,Flat / Apartment,3,20000
Mombasa,Maisonette,2,18000
Mombasa,Swahili/ Compound Houses Sharing Facilities,1,4500
Mombasa,Swahili/ Compound Houses Sharing Facilities,2,6000
Mombasa,Compound Houses Not Sharing Facilities,0,6500
Mombasa,Compound Houses Not Sharing Facilities,1,7000
Mombasa,Compound Houses Not Sharing Facilities,2,7400
Mombasa,Compound Houses Not Sharing Facilities,3,13000
Mombasa,Compound Houses Not Sharing Facilities,4,16000
Mombasa,Townhouse,1,15000
Kwale,Bungalow,1,9000
Kwale,Bungalow,2,7500
Kwale,Swahili/ Compound Houses Sharing Facilities,1,4000
Kwale,Swahili/ Compound Houses Sharing Facilities,2,6300
Kwale,Compound Houses Not Sharing Facilities,1,7000
Kwale,Compound Houses Not Sharing Facilities,2,13000
Kwale,Townhouse,2,12000
Kilifi,Bungalow,1,6000
Kilifi,Bungalow,2,9000
Kilifi,Bungalow,4,10000
Kilifi,Flat / Apartment,1,8500
Kilifi,Flat / Apartment,2,15000
Kilifi,Swahili/ Compound Houses Sharing Facilities,1,5000
Kilifi,Compound Houses Not Sharing Facilities,1,8000
Kilifi,Compound Houses Not Sharing Facilities,2,15000
Tana River,Flat / Apartment,1,5000
Tana River,Swahili/ Compound Houses Sharing Facilities,1,3500
Tana River,Compound Houses Not Sharing Facilities,1,7000
Tana River,Townhouse,1,11000
Lamu,Bungalow,1,2500
Lamu,Bungalow,2,5250
Lamu,Flat / Apartment,1,5750
Lamu,Flat / Apartment,2,5000
Lamu,Swahili/ Compound Houses Sharing Facilities,1,5500
Lamu,Swahili/ Compound Houses Sharing Facilities,2,3000
Lamu,Compound Houses Not Sharing Facilities,1,4000
Lamu,Compound Houses Not Sharing Facilities,2,6000
Lamu,Townhouse,1,5250
Lamu,Townhouse,2,5250
Taita-Taveta,Bungalow,1,4500
Taita-Taveta,Flat / Apartment,1,6500
Taita-Taveta,Flat / Apartment,2,12000
Taita-Taveta,Flat / Apartment,3,15000
Taita-Taveta,Swahili/ Compound Houses Sharing Facilities,1,2250
