county,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8
Mombasa,17.3,56.8,0,14.2,0,5.3,6.4,0
Kwale,25.3,37,0,0,2.6,27.2,0,7.8
Kilifi,33.6,7.8,0,19.1,12.5,27,0,0
Tana River,10.3,89.7,0,0,0,0,0,0
Lamu,47.8,52.2,0,0,0,0,0,0
Taita-Taveta,4.5,39.3,0,18.6,0,37.6,0,0
Marsabit,0,100,0,0,0,0,0,0
Isiolo,53.7,46.3,0,0,0,0,0,0
Meru,14.6,51.4,0,0.6,0,33.4,0,0
Tharaka-Nithi,44.5,37.7,0,3.4,0,14.4,0,0
Embu,33.1,14.9,0,19.6,0,32.4,0,0
Kitui,36.2,42.2,0,0,21.7,0,0,0
Machakos,22.9,50.6,0,5,0,21.5,0,0
Makueni,1.5,60.5,0,38,0,0,0,0
Nyandarua,62.7,20.9,0,0,2.3,14.1,0,0
Nyeri,58.5,34.1,0,0,7.4,0,0,0
Kirinyaga,33.9,31.8,5.9,0,2.9,25.6,0,0
Murang'a,42,35.3,0,5.7,0.4,16.7,0,0
Kiambu,56.2,9.7,0,0,27.8,6.4,0,0
Turkana,19.9,80.1,0,0,0,0,0,0
West Pokot,0,100,0,0,0,0,0,0
Samburu,22.1,73,0,0,0,4.9,0,0
Trans Nzoia,8.7,61.6,5.8,5.8,0,18.1,0,0
Uasin Gishu,2.8,56.2,0,0,21.2,19.9,0,0
Elgeyo-Marakwet,24.7,30.1,0,32.3,4.6,8.3,0,0
Nandi,10.6,54.8,0,9.1,0,25.6,0,0
Baringo,67.9,21,0,2.3,0,8.7,0,0
Laikipia,39.9,26.9,0,10.4,0,13,9.9,0
Nakuru,41.1,41.6,0,0,0,17.3,0,0
Narok,0,100,0,0,0,0,0,0
Kajiado,24.5,25.2,0,50.3,0,0,0,0
Kericho,65.2,27.5,0,0,0,7.3,0,0
Bomet,57.2,17.9,0,11.7,0,13.3,0,0
Kakamega,100,0,0,0,0,0,0,0
Vihiga,8.5,0,0,32.3,38.1,0,21.1,0
Bungoma,18,65.8,0,0,0,16.2,0,0
Busia,0,0,0,0,0,0,100,0
Siaya,76.9,23.1,0,0,0,0,0,0
Kisumu,45,36.3,5.5,3.4,0,6.6,0,3.2
Homa Bay,0,100,0,0,0,0,0,0
Migori,10.4,61.6,0,11.7,7.3,9,0,0
Kisii,18.7,58.4,0,18.6,0,4.3,0,0
Nyamira,61.9,17.2,0,15.7,0,5.2,0,0
Nairobi,5.5,53.9,15.1,0,25.4,0,0,0
