county,value_1,value_2,value_3,value_4,value_5,value_6
Mombasa,76.6,21.9,1.5,0,0,77012
Kwale,94.6,4.9,0,0.5,0,116313
Kilifi,92.5,6.1,0,1.4,0,242852
Tana River,92.6,1.9,0.4,5.1,0,28923
Lamu,90,3.5,0,0,6.5,8567
Taita-Taveta,92.6,7.4,0,0,0,57203
Garissa,100,0,0,0,0,46330
Wajir,80.2,0,0,0,19.8,26250
Mandera,96.9,0,0,2.5,0.6,54012
Marsabit,98.2,0.5,0,1.2,0.2,62774
Isiolo,92.3,1.1,0,0,6.6,35649
Meru,96.4,3.6,0,0,0,283833
Tharaka-Nithi,91.8,8.2,0,0,0,88630
Embu,92.2,7.8,0,0,0,121410
Kitui,95.8,1.4,0,2.7,0,168492
Machakos,93.3,6.6,0.2,0,0,263158
Makueni,97.5,2.5,0,0,0,181869
Nyandarua,91.9,7.4,0.7,0,0,95143
Nyeri,87,12.4,0,0.6,0,118213
Kirinyaga,92.4,5.9,0.6,1.1,0,108569
Murang'a,81,16.6,0.4,2,0,281440
Kiambu,83.2,16.8,0,0,0,322670
Turkana,37.2,2.4,0,10.4,50,154105
West Pokot,99.3,0.7,0,0,0,101380
Samburu,67.6,7.3,0.1,0.1,24.8,68613
Trans Nzoia,96.7,3.3,0,0,0,177230
Uasin Gishu,96.9,2.6,0.5,0,0,160565
Elgeyo-Marakwet,94.8,5.1,0.1,0,0,74351
Nandi,94.3,5.2,0,0.5,0,163040
Baringo,91.3,7.6,0,1.1,0,111787
Laikipia,86.2,9.3,0,4.5,0,67992
Nakuru,92.2,7.8,0,0,0,307394
Narok,99.4,0.6,0,0,0,162978
Kajiado,73.1,4.4,0,10.9,11.6,91414
Kericho,94.9,5.1,0,0,0,155199
Bomet,95,4.9,0.1,0,0,178995
Kakamega,99.2,0.5,0,0.3,0,342243
Vihiga,97.3,2.7,0,0,0,114591
Bungoma,94.5,2.4,0,3.1,0,328520
Busia,99.5,0.5,0,0,0,126120
Siaya,95.6,2,0,2.4,0,209011
Kisumu,89.9,8.9,0.7,0.5,0,159906
Homa Bay,91.7,1.3,0,7.1,0,215901
Migori,94.1,5.9,0,0,0,209761
Kisii,96.8,3.2,0,0,0,262925
Nyamira,96.9,3.1,0,0,0,117530
Nairobi,84.2,9.7,6.1,0,0,110696
