county,value_1,value_2,value_3
Mombasa,82.9,17.1,405415
Kwale,49.5,50.5,183739
Kilifi,35.7,64.3,407221
Tana River,40.1,59.9,74962
Lamu,46.4,53.6,40543
Taita-Taveta,59.3,40.7,108463
Garissa,33.6,66.4,180468
Wajir,21.7,78.3,152058
Mandera,24.8,75.2,167096
Marsabit,37.1,62.9,87421
Isiolo,47,53,63947
Meru,48.8,51.2,463535
Tharaka-Nithi,53,47,120886
Embu,49.4,50.6,199046
Kitui,22.1,77.9,275514
Machakos,42.2,57.8,430469
Makueni,23.4,76.6,257105
Nyandarua,64.6,35.4,198250
Nyeri,87.1,12.9,270743
Kirinyaga,79.5,20.5,217216
Murang'a,87.3,12.7,385599
Kiambu,95.1,4.9,997101
Turkana,9,91,219588
West Pokot,14.8,85.2,183115
Samburu,22.9,77.1,95708
Trans Nzoia,43.5,56.5,266538
Uasin Gishu,66.1,33.9,351899
Elgeyo-Marakwet,37.1,62.9,110356
Nandi,48.7,51.3,226515
Baringo,34,66,157303
Laikipia,47,53,154631
Nakuru,65.4,34.6,673026
Narok,23.6,76.4,263863
Kajiado,63.9,36.1,371234
Kericho,45.3,54.7,233615
Bomet,34.3,65.7,219222
Kakamega,38.7,61.3,484205
Vihiga,45.1,54.9,160520
Bungoma,30.6,69.4,470168
Busia,29.5,70.5,216855
Siaya,24,76,247647
Kisumu,56.7,43.3,338619
Homa Bay,20.1,79.9,270043
Migori,30.8,69.2,267547
Kisii,54.3,45.7,371985
Nyamira,58.2,41.8,183594
Nairobi,95.2,4.8,1661533
