county,value_1,value_2,value_3,value_4,value_5
Mombasa,98.2,1.5,0.3,0,1311860
Kwale,67.1,2.9,9.4,20.6,944464
Kilifi,74.1,3.6,9.7,12.6,1577335
Tana River,47.5,6,1,45.6,352549
Lamu,89.8,5.3,4.4,0.4,167332
Taita-Taveta,74.4,14.5,1.8,9.3,363990
Garissa,78,0.7,12,9.3,927031
Wajir,79.8,7,0,13.2,870636
Mandera,47.6,2.7,0.5,49.2,959236
Marsabit,42.5,22.3,4.6,30.6,515292
Isiolo,72.2,3.8,4.9,19.2,315937
Meru,49.7,3.8,2.4,44.1,1625982
Tharaka-Nithi,55.3,0.2,3.8,40.8,416383
Embu,75.6,1.7,1,21.8,648425
Kitui,34,11.4,3.6,51,1229790
Machakos,69.9,8.9,4.5,16.7,1487758
Makueni,46.3,10.1,16.4,27.2,1042300
Nyandarua,90.6,3.8,0.8,4.8,695531
Nyeri,88.4,0,5.2,6.4,835408
Kirinyaga,73.2,0.4,0.1,26.3,653112
Murang'a,84.1,0.7,0.2,15.1,1112288
Kiambu,93.9,0.9,0.8,4.3,2652880
Turkana,41.5,14.2,22.3,22,1022773
West Pokot,19.9,6.4,42.8,30.9,676326
Samburu,35.2,19.6,1.3,43.9,348298
Trans Nzoia,76.4,5.6,5.4,12.6,1069039
Uasin Gishu,83.7,1.8,8.7,5.8,1257330
Elgeyo-Marakwet,31.9,1.2,12.1,54.8,495239
Nandi,48.9,1,9.8,40.3,951460
Baringo,43.5,9.4,2.7,44.4,733333
Laikipia,69.1,1,2.4,27.5,561223
Nakuru,84.4,3,2.5,10.1,2347849
Narok,60.4,5.3,1.8,32.5,1284204
Kajiado,71.2,8.9,0.3,19.7,1268261
Kericho,43.2,0.6,9.7,46.6,954896
Bomet,47.8,2,4.5,45.7,939761
Kakamega,88.5,6.5,4.4,0.6,2002435
Vihiga,79.4,2.7,9.7,8.2,625765
Bungoma,67.3,4.1,20.3,8.3,1786973
Busia,69.1,12.4,5.8,12.6,968763
Siaya,67.5,1.9,1.2,29.3,1059458
Kisumu,79.5,2.9,2.7,14.9,1248474
Homa Bay,50.7,11.4,3.2,34.7,1231659
Migori,49.1,1.9,11.8,37.2,1234082
Kisii,46.4,15,2.4,36.2,1344907
Nyamira,52.1,23.8,4.7,19.4,657502
Nairobi,97.7,1.6,0.2,0.5,4750056
