county,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12
Mombasa,6.2,0.2,0,0,6.4,0,0,25.1,65.7,2.9,93.6,0
Kwale,45,0,0.2,0,45.2,0,0,8.4,46.2,0.1,54.8,0
Kilifi,55.3,0,0,0,55.3,0,0,6.5,37.9,0.2,44.7,0
Tana River,65.6,0,0,0,65.6,0,0,4.7,29.5,0.3,34.4,0
Lamu,37.8,2.2,0.3,0,40.2,0,0,7.7,52,0,59.8,0
Taita-Taveta,30.5,0,0,0,30.5,0,0,8.8,60.5,0.2,69.5,0
Garissa,63.3,0,0,0,63.3,0,0,8.2,28.2,0.3,36.7,0
Wajir,70.8,0,0.4,0.2,71.5,1.7,5,7.3,14.3,0.2,28.5,0
Mandera,74,0.2,0.1,0,74.2,0,0,2.1,23.7,0,25.8,0
Marsabit,56.4,1.1,0,0,57.5,0,0,7,35.5,0,42.5,0
Isiolo,56.6,0,0.3,0,56.9,0,0,17.1,24.9,1.1,43.1,0
Meru,46.8,1.1,0.8,0,48.7,0,0,7.1,41.6,2.5,51.2,0.1
Tharaka-Nithi,47.4,0,0.1,0,47.4,0,0.2,10,42.4,0,52.6,0
Embu,40.5,0,0.3,0,40.8,0,0,10.6,48.5,0.1,59.2,0
Kitui,42.8,0,0.3,0.2,43.3,0,0,9.4,47.2,0.1,56.7,0
Machakos,18.2,0,0.1,0,18.3,0,0,14.5,66.4,0.7,81.7,0
Makueni,32.2,0,0,0,32.2,0.1,0,10.3,57.4,0.1,67.8,0
Nyandarua,42,0,1,0,43.1,0.2,0,11.8,44.9,0,56.9,0
Nyeri,29.4,0,0.5,0,29.9,0,0,8.7,61.1,0.3,70.1,0
Kirinyaga,32.1,0,0,0,32.1,0,0.8,9.8,56.2,1.2,67.9,0
Murang'a,46.7,0,0.5,0,47.3,0.2,0,9.6,42,0.9,52.7,0
Kiambu,7,0.1,0.2,0,7.3,0,0.1,21.8,68.8,2,92.7,0
Turkana,75.4,0,0.7,0,76.1,0,0,2.6,21.4,0,23.9,0
West Pokot,41.7,37.7,0,0,79.3,0,0,2.2,18.5,0,20.7,0
Samburu,62.1,0.2,0,0,62.3,0,0,6.4,30.2,1.2,37.7,0
Trans Nzoia,51.3,4.7,0,0,56,0,0,6.2,37.8,0,44,0
Uasin Gishu,17.7,12.2,0,0,29.9,0,0.4,20.4,49.3,0,70.1,0
Elgeyo-Marakwet,24.2,41.9,0.5,0,66.5,0,0,4.7,28.6,0.2,33.5,0
Nandi,50.4,0,0,0,50.5,0,0,10.8,38.7,0,49.5,0
Baringo,26.4,35.4,1.1,0,62.9,0,0,2.2,34.9,0,37.1,0
Laikipia,37.4,1,0.2,0,38.6,0,0,12.3,47.8,1.3,61.4,0
Nakuru,31.8,5.6,0.1,0,37.5,0,0,14.2,48.3,0,62.5,0
Narok,39.3,21,0,0.3,60.6,0,0,6.5,31.9,1,39.4,0
Kajiado,21.8,0.3,0,0,22.1,0,0.7,28,49.3,0,77.9,0
Kericho,21,36.4,0.2,0,57.7,0.1,0,7.8,34.2,0.3,42.3,0
Bomet,25.6,36.9,0.2,0,62.7,0,1.8,5,30.2,0.2,37.3,0
Kakamega,12.2,49.3,0,0,61.5,0,0.1,10.8,27.6,0,38.5,0
Vihiga,28.1,34.8,0,0,63,0,0,8.2,27.3,1.5,37,0
Bungoma,16.4,50.4,0,0,66.8,0,0,7.8,25.4,0.1,33.2,0
Busia,49.9,3.4,0,0,53.3,0,0,5.5,41.3,0,46.7,0
Siaya,19.3,27.7,0,0,47,0,0,11.6,41,0.4,53,0
Kisumu,18.5,17.4,0,0,35.9,0,1.4,25.7,35.8,0.3,63.1,1
Homa Bay,26.5,26.5,0,0,53,0,0,5.8,39.2,2,47,0
Migori,42.6,6.5,0,0.3,49.3,0,0,9.1,41.2,0,50.3,0.4
Kisii,52.7,7.3,0,0,60,0.2,0.4,7.8,31.4,0.2,40,0
Nyamira,45.1,18.1,0,0,63.2,0,0,9.5,27,0.3,36.8,0
Nairobi,2.3,0.1,2.7,0,5.1,0.7,0,35.3,56.8,2.2,94.9,0
