county,value_1,value_2,value_3,value_4,value_5,value_6
Mombasa,405415,25.8,8.3,13,52.9,0
Kwale,183739,11,1.1,3.2,84.8,0
Kilifi,407221,11.3,0.3,26.9,61.5,0
Tana River,74962,11.2,1.3,29.9,57.6,0
Lamu,40543,3,4.3,34.8,58,0
Taita-Taveta,108463,87.2,0.3,4.1,8.4,0
Garissa,180468,5.6,1.8,67.4,25.2,0
Wajir,152058,7.9,4.7,52.4,35,0
Mandera,167096,0,0.9,33.3,65.7,0
Marsabit,87421,0.2,0.7,35.5,63.6,0
Isiolo,63947,14.4,3.7,7.6,74.4,0
Meru,463535,39.2,1.1,36.9,22.8,0
Tharaka-Nithi,120886,20.1,1.4,18.8,59.7,0
Embu,199046,21.6,1.3,21.7,55.4,0
Kitui,275514,18.8,0.3,3,77.9,0
Machakos,430469,9.7,1.5,9.6,79.2,0
Makueni,257105,33.2,1.6,22.8,42.3,0.1
Nyandarua,198250,39.3,4.5,49.2,7,0
Nyeri,270743,22.7,2,42.4,32.9,0
Kirinyaga,217216,39.1,1.7,26.9,32.3,0
Murang'a,385599,34.6,1.2,43.6,20.5,0
Kiambu,997101,18,3.7,36.6,41.7,0
Turkana,219588,7.8,0.6,9.8,81.7,0
West Pokot,183115,6.6,4.3,44.3,44.8,0
Samburu,95708,47.5,0.3,13.8,38.4,0
Trans Nzoia,266538,8.1,1,27.3,63.6,0
Uasin Gishu,351899,26.5,0.2,20.4,52.8,0
Elgeyo-Marakwet,110356,37,9.9,14.8,38.4,0
Nandi,226515,77.1,3.9,17.6,1.4,0
Baringo,157303,4.8,1.2,16.3,77.6,0
Laikipia,154631,28.4,18.7,38.1,14.7,0
Nakuru,673026,23.6,1.2,11.5,63.6,0
Narok,263863,6.8,0.9,3.8,88.4,0.1
Kajiado,371234,10.6,1.3,7.9,80.2,0
Kericho,233615,19.1,1.1,7.7,72.1,0
Bomet,219222,12,1.6,34.4,52.1,0
Kakamega,484205,51.8,0.6,17.3,30.3,0
Vihiga,160520,27.3,0.3,18.8,53.5,0
Bungoma,470168,4.8,3.5,45.9,45.8,0
Busia,216855,77,1.9,16.5,4.6,0
Siaya,247647,23.8,0.6,8.3,67.4,0
Kisumu,338619,14.6,3,42.6,38.7,1.1
Homa Bay,270043,6,3.1,21.3,69.6,0
Migori,267547,25.2,0.5,14,60.3,0
Kisii,371985,4,2.3,25.4,68.4,0
Nyamira,183594,27.4,2.3,26.5,43.8,0
Nairobi,1661533,33,4.2,8.8,54,0
