county,value_1,value_2
Mombasa,37.6,62.4
Kwale,9.6,90.4
Kilifi,18.3,81.7
Tana River,3.1,96.9
Lamu,13.1,86.9
Taita-Taveta,17.5,82.5
Garissa,2.2,97.8
Wajir,1.4,98.6
Mandera,0.1,99.9
Marsabit,1.5,98.5
Isiolo,12.3,87.7
Meru,4.5,95.5
Tharaka-Nithi,14.2,85.8
Embu,19.9,80.1
Kitui,18.3,81.7
Machakos,19,81
Makueni,7.8,92.2
Nyandarua,13.6,86.4
Nyeri,20.9,79.1
Kirinyaga,21.6,78.4
Murang'a,16.2,83.8
Kiambu,45.5,54.5
Turkana,1.6,98.4
West Pokot,2.2,97.8
Samburu,4.6,95.4
Trans Nzoia,15.4,84.6
Uasin Gishu,28.6,71.4
Elgeyo-Marakwet,3.7,96.3
Nandi,6.5,93.5
Baringo,2.5,97.5
Laikipia,26.2,73.8
Nakuru,26.7,73.3
Narok,8.6,91.4
Kajiado,36.4,63.6
Kericho,6.6,93.4
Bomet,2.4,97.6
Kakamega,16.4,83.6
Vihiga,9,91
Bungoma,8.8,91.2
Busia,10.2,89.8
Siaya,9.2,90.8
Kisumu,21.5,78.5
Homa Bay,7.5,92.5
Migori,6.6,93.4
Kisii,12.7,87.3
Nyamira,7,93
Nairobi,51.8,48.2
