county,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18
Mombasa,0,0,0,3.6,0.2,2.1,0,0,0,0,0,0.8,54.7,34.2,2.9,1.5,0,0
Kwale,0,0,0,26.6,13.1,1.7,0,0,0,0,0.1,0.3,2.1,54.6,0.5,0,0,0.9
Kilifi,0,0,0.3,37.1,12.7,1.7,0,0,0,0,0,0.9,28.6,18.3,0.4,0,0,0
Tana River,0,6,9.3,29,15.9,1.5,0,0,0,0,0,0,27,5.3,0,6.1,0,0
Lamu,0,0.8,0,36.3,8.4,0.6,0,0.4,0,0,0.8,0.8,35.5,14.2,1.8,0.5,0,0
Taita-Taveta,0,0,0,5.5,8.6,6.6,8.7,0,0,4.9,0.2,0,33.7,23.7,7.9,0.3,0,0
Garissa,0.5,5.8,30.1,4.3,4.3,4.4,4.3,0.5,0,6.4,0,9,18.3,11.2,0.1,0.8,0,0
Wajir,0.9,19.9,27.7,1.7,6.8,2.6,0.4,1.7,0.1,0,0,8.2,6.8,20.7,0,2.3,0,0
Mandera,0.3,16.7,21.9,5.9,19.4,0.7,0,0,0.1,0,8.8,1.1,9.6,13.5,0,1.9,0,0
Marsabit,0.6,31.9,4.4,9.8,0.8,1.2,0.2,0.3,6.6,11.9,0,1,11.6,6.9,2.5,10.1,0,0.1
Isiolo,0,9.2,0.5,5.5,24.1,0.9,0.2,1.5,4.9,0,10.5,4.8,11,20.1,0.4,6.2,0,0
Meru,0,0.4,0,4.1,0.7,1.5,0.2,0,1.3,1.5,62.9,0.7,1.4,24.1,1.1,0,0,0
Tharaka-Nithi,0,0,0,25.8,0,0.2,5.3,0,0,7,25.3,1,5.4,26,2.9,1.1,0,0
Embu,0,0,0,20.4,0,1.8,4.8,0,2.5,5.8,14.9,2.1,1.2,36,10.7,0,0,0
Kitui,0,0,0.2,0.7,5.1,0.8,15.8,0,0,2.5,0.2,1.1,35.6,21.3,15.4,1.4,0,0
Machakos,0,0,0,0.2,0,0.9,4.9,0,0,6.3,0.3,7.3,14.6,41.2,24.4,0,0,0
Makueni,0,0,0,0.5,0.5,1.7,7.2,0,0,3.2,0,1,64.3,1.8,19.6,0.2,0,0
Nyandarua,0,0,0,9.3,2,1,0,0,13.8,0,22.6,19.8,14.4,17.1,0,0,0,0
Nyeri,0,0,0,1.5,0,0.3,0.3,0,0.7,0.3,49,6.3,1.4,37.1,3.1,0.1,0,0
Kirinyaga,0,0,0,4.7,0,1.6,0.7,0,2.6,5.8,30.1,1.9,6.3,36.2,7.8,2.3,0,0
Murang'a,0,0,0,14.7,0,0.9,0,0,0,0,22.9,19.9,8,31.9,0.4,0.2,0,1.1
Kiambu,0,0.3,0,0.1,0.4,0.4,0,0,0.4,0,4.3,27.2,26.5,35,5,0.1,0,0.1
Turkana,0.9,50.1,4.6,9.9,11.7,0,0.2,3.4,0,0.4,0,9.3,0.9,2.2,0.9,4.5,0,1.1
West Pokot,0,0.3,0.4,38.1,46.6,1,0,0,0,0,0.2,0.1,5.8,6.3,1.1,0.1,0,0
Samburu,0,35.3,0,20.4,0.9,0.7,0,0,0.4,0,6.2,0.1,20.4,11.3,0,3.3,0,0.9
Trans Nzoia,0,0,0,60.9,0,3.2,0,0,0,0,0.1,1,23.7,3.7,4.9,2.5,0,0
Uasin Gishu,0,0.2,0.2,24.8,4.4,1.4,0.5,0.9,0.2,6.4,7.5,9.5,22.4,17.1,3.5,1,0,0
Nandi,0,0,0,62,0,2.2,0.7,0,0.6,0,0.2,1.3,8.1,14,10.5,0.5,0,0
Baringo,0.2,0.5,0.2,41.5,0,0,0,0,6.6,0.2,12.9,24.7,4.2,8.5,0.4,0,0,0.2
Laikipia,0,0,0,13.5,0,0.4,0,0,0,0,34,9.1,1.3,40.7,0.6,0.1,0,0.2
Nakuru,0,0,0,21,4.2,3.9,0,0.1,0.2,0,12.7,6.2,18.7,30,2,0.6,0,0.3
Narok,0,0.5,0,39.2,14.6,0,0.2,1,0,0,11.4,12.6,3.7,14.3,1,0,0,1.7
Kajiado,0.2,0,0,16.1,0.3,0,0,0,0.3,0.4,2.7,28.3,11.9,18.3,0,21.5,0,0
Kericho,0,0.2,0,43.1,0,0,0.6,0,0,0,24.9,8.3,3.2,4.9,14.5,0.1,0.2,0
Bomet,0,0,0.2,54.6,0.9,2.1,0,0,0,0,23.7,1.6,0.9,5.8,8.4,1.8,0,0
Kakamega,0,0,0.2,55.1,10.2,0,0,0,0.4,0,0,0,27.4,4.7,1.9,0.1,0,0
Vihiga,0,0,0,68.2,0,2.1,0,0,0,1.2,0,0.1,9,19.1,0.1,0.3,0,0
Bungoma,0,0,0,56.6,5.3,4.3,0.2,0,0,1.1,0.2,0,4.4,4.6,21.2,1.1,0.8,0
Busia,0,0,0,58.3,0.2,0.7,1,0,0,0.9,0,0.7,29.8,4.2,2.9,1.2,0,0
Siaya,0,0,0,45.5,3.2,0,0,0,0,0,0,0.3,43.4,4.6,2.1,0.9,0,0
Kisumu,0,0,0,36.9,1.3,0.8,3.3,0,0,0.9,0,9,30.4,12,3,1.5,0.8,0.1
Homa Bay,0.2,0.3,0,51.5,0,3.7,0.3,0,0,1.2,0.3,8.7,23.1,6.9,2.6,1.1,0,0
Migori,0,0,0,50.3,0,1.9,0.2,0,0,0,0,1.5,36.7,5.1,2.4,1.9,0,0
Kisii,0.2,0.2,0,64.9,0,0.6,0,0,0,0,0,0.8,1.6,15.8,15.9,0.1,0,0
Nyamira,0,0.4,0,55.9,0,6.9,0,0,0.3,0,0,0.8,11.1,7.3,16.7,0,0,0.6
Nairobi,0.1,0,0,1.9,0.1,0.5,0,0.1,0.2,0,0.4,19.4,36.6,35.9,1.6,3.1,0,0.1
