county,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11
Mombasa,0.2,0,0,0.2,88.9,0,10.6,0,0.3,99.8,0
Kwale,17.6,0,0,17.6,82.1,0,0.3,0,0,82.4,0.1
Kilifi,20.4,0,0,20.4,75.3,0.1,4,0.3,0,79.6,0
Tana River,31.7,0.1,0,31.8,66.7,0.4,1,0,0,68.2,0
Lamu,8.5,0.3,0,8.8,75.6,0,14.8,0,0.8,91.2,0
Taita-Taveta,0.4,0,0.5,0.9,97.2,0.2,1.7,0,0,99.1,0
Garissa,37,0,0.3,37.3,61.7,0.3,0.5,0.3,0,62.7,0
Wajir,45.6,0.4,0.3,46.3,50.8,0.4,0,0.2,2.4,53.7,0
Mandera,24.2,0.4,0.3,24.8,74.4,0,0.1,0,0.7,75.2,0
Marsabit,34.6,0.8,1.1,36.5,51.7,0.8,0.7,0,10.2,63.5,0
Isiolo,2.1,0,0.3,2.4,82.6,0,1.5,0,13.6,97.6,0
Meru,1,0,0.2,1.2,97.9,0,0.7,0.1,0.2,98.8,0
Tharaka-Nithi,0,0.4,0,0.4,97.3,0,2.3,0,0,99.6,0
Embu,0.5,0.2,0,0.8,95.4,0.4,3.1,0.4,0,99.2,0
Kitui,0.5,0,0,0.5,97,0,2.6,0,0,99.5,0
Machakos,0.3,0,0,0.3,94.7,1.1,2.7,1.1,0.1,99.7,0
Makueni,0.2,0,0,0.2,99.3,0,0.5,0,0,99.8,0
Nyandarua,0,0.2,0,0.2,98.1,0,1.3,0.4,0,99.8,0
Nyeri,0.8,0.1,0,0.8,96.2,0.8,2.2,0,0,99.2,0
Kirinyaga,0.3,0,0,0.3,98.1,0,0.9,0.6,0,99.7,0
Murang'a,0.8,0.1,0,0.9,97.9,0,1.1,0.1,0,99.1,0
Kiambu,0,0,0,0,91.6,0.7,7.5,0.2,0,100,0
Turkana,63.6,0,0.5,64,31.9,1.4,0,0,1.6,34.9,1.1
West Pokot,50.8,1.6,0,52.4,47.3,0.1,0.2,0,0,47.6,0
Samburu,13.8,9,0,22.9,43.9,0,0.9,0,30.5,75.3,1.8
Trans Nzoia,0.3,1.4,0,1.7,96.8,0,0.8,0.7,0,98.3,0
Uasin Gishu,0.9,0,0.1,1,97.5,0,1.3,0,0.2,99,0
Elgeyo-Marakwet,19.5,0.4,0,19.9,79.6,0,0,0.3,0,79.9,0.2
Nandi,1,0,0,1,98.3,0,0.7,0,0,99,0
Baringo,14.4,1.6,0,16,83.6,0,0.3,0.1,0,84,0
Laikipia,3.3,0,0,3.3,94.8,0,1.7,0,0.2,96.7,0
Nakuru,1.7,0,0.3,2,96.4,0.1,1.1,0.2,0.1,98,0
Narok,15.2,0,0,15.2,83.8,0,0.1,0,0.9,84.8,0
Kajiado,4.8,8.3,0,13.1,78,0,7.3,0,1.6,86.9,0
Kericho,3,0.2,0,3.2,96.4,0,0,0.4,0,96.8,0
Bomet,6.5,0.4,0,6.9,90.1,2.9,0,0,0,93.1,0
Kakamega,1.3,1.9,0,3.1,95.9,0,0.9,0,0,96.9,0
Vihiga,0,0.3,0,0.3,99.2,0.3,0.2,0,0,99.7,0
Bungoma,3,0.2,0,3.3,96.5,0,0,0,0.2,96.7,0
Busia,6.1,0,0,6.1,93.2,0.5,0,0,0.2,93.9,0
Siaya,3.2,0.3,0,3.5,96,0,0.3,0,0.2,96.5,0
Kisumu,0.4,0.5,0.2,1.1,96.6,0,2.3,0,0,98.9,0
Homa Bay,1.1,0.9,0,2,97.7,0,0.3,0,0,98,0
Migori,1.6,0,0,1.6,94,1.4,3,0,0,98.4,0
Kisii,1.3,0.2,0,1.5,97.9,0,0.7,0,0,98.5,0
Nyamira,0.8,0,0,0.8,99.2,0,0,0,0,99.2,0
Nairobi,0,0,0,0,61.6,0.1,36.1,1.6,0.2,99.5,0.5
