county,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15
Mombasa,405415,6.4,80.8,4,1.9,1.7,0.2,0.6,4.4,100,0,0,0,0,0
Kwale,183739,19.3,11.3,7.2,21,7.7,0.9,2.4,3.6,73.4,2.5,6.9,17.2,26.6,0
Kilifi,407221,53.2,18.7,2,2.8,0.3,0,0.5,3.1,80.5,3.5,3.8,12.1,19.5,0
Tana River,74962,10.1,5.1,10.4,26.9,0.2,0.6,0,0.6,54,0.7,0,45.3,46,0
Lamu,40543,19.7,22.1,13.6,20,3.9,0,4.6,7.8,91.7,0,7.8,0,7.8,0.5
Taita-Taveta,108463,56.3,2.7,5.8,7.2,1,11.1,4.3,0.4,88.7,1.2,0.5,8.4,10.1,1.3
Garissa,180468,29.4,9.3,0,36.3,0.7,0,0,0.1,75.8,0,11.4,12.6,24,0.1
Wajir,152058,7.7,0.1,2.1,55,19.5,0,1,0.1,85.4,0,0.1,10.3,10.3,4.3
Mandera,167096,2.5,5.1,4.9,32.7,4.4,0,0,0,49.7,0.4,0,49.1,49.5,0.8
Marsabit,87421,0.2,1.7,8.1,28.6,2,1.7,23.6,0,66,2.4,1.9,29.7,34,0
Isiolo,63947,41,0,1.6,28.5,3.8,0,0.3,2.8,78.1,0,4.5,16.7,21.2,0.7
Meru,463535,13.1,8.1,3.1,17.3,0.6,2.5,5.6,1.8,52,1.7,0.6,45.1,47.4,0.6
Tharaka-Nithi,120886,39.4,17.5,0,0,0.4,0.2,1,0.9,59.3,0.8,2.7,37.1,40.7,0
Embu,199046,59.2,0.2,3.6,3,4.4,0,7.4,0,77.9,0,1.2,20.8,22.1,0
Kitui,275514,20.2,11.8,2.8,8.6,1.8,0,7.1,5.5,57.7,0.8,1.6,39.7,42.1,0.2
Machakos,431218,4.8,16.6,13.4,11,0.8,3.2,22.5,7.4,79.7,3.3,1,16,20.3,0
Makueni,257105,17.1,6.3,3.9,6,2,1.4,18.7,1.8,57.3,11.8,4,25.4,41.2,1.5
Nyandarua,198250,31.2,3.4,6.7,12.4,22.1,0.3,18.2,0.7,95,0.6,0,4.5,5,0
Nyeri,270743,59.5,2.2,2.1,0.8,4.2,1.1,20.4,0.1,90.3,3.9,0.4,5.4,9.7,0
Kirinyaga,217216,43.4,17.1,6.5,3,3.6,0.3,1.1,1.2,76.1,0,0.1,23.4,23.6,0.3
Murang'a,385599,48.8,1.1,3.7,1.8,1.7,2.9,20.6,1.3,81.8,0,0.2,17.2,17.4,0.8
Kiambu,997101,53.5,8.2,9.9,5.5,4.7,0.1,7,6.4,95.1,0.7,0,4,4.7,0.1
Turkana,219588,13.6,1.2,0.5,38.8,0.4,0,0,0.1,54.6,0.4,19.7,24.7,44.8,0.6
West Pokot,183115,1.9,1.9,2.8,12.3,1.2,5.5,0,0.2,25.8,43.3,0.6,29.9,73.8,0.4
Samburu,95708,4.2,2.4,12.6,30.8,0.4,0.6,2.8,4,57.8,0.2,0.8,39.8,40.9,1.3
Trans Nzoia,266538,17.5,1.2,40.8,7.7,0.6,16,0.6,0.1,84.7,5.2,0,10.1,15.3,0
Uasin Gishu,351899,47.5,0.7,18.4,7,9.4,1.6,2.2,0.8,87.6,3.6,4.1,4.6,12.4,0
Elgeyo-Marakwet,110356,10,3.9,2.4,0.7,11.1,4.3,1.1,0.5,34.1,3.2,10.3,50.7,64.2,1.7
Nandi,226515,9.4,6.3,7.8,3.8,15.7,4.9,3.6,0.1,51.7,3.4,7.1,37.8,48.2,0.1
Baringo,157303,13.3,1,3,25,4.1,0.3,8.4,0.3,55.5,2.2,1.4,40.4,44.1,0.5
Laikipia,154631,39.6,3,18.8,5.9,0.5,0,10.4,0,78.2,1.4,0.2,18.1,19.7,2.1
Nakuru,673026,23.5,4,15,6.6,5,0.7,22.1,12.2,89.2,2,0.1,8.7,10.8,0
Narok,263863,7.4,2.4,5.8,8.3,0.7,0,41.9,3.6,70,1.5,0.4,28.1,30,0
Kajiado,371234,21.6,9.9,9.2,35,1,0.4,4.8,4.6,86.5,0.4,0,12,12.4,1.2
