county,value_1,value_2,value_3,value_4
Mombasa,484711,50,484948,50
Kwale,316688,48.6,334297,51.4
Kilifi,567080,51.3,539191,48.7
Tana River,140621,51.8,130698,48.2
Lamu,39052,51.5,36782,48.5
Taita-Taveta,91929,51.9,85177,48.1
Garissa,176935,52.3,161583,47.7
Wajir,276776,50.1,275961,49.9
Mandera,167336,53.6,144939,46.4
Marsabit,169043,51.2,161320,48.8
Isiolo,80263,51.9,74387,48.1
Meru,349706,47.6,384708,52.4
Tharaka-Nithi,97599,49.9,97845,50.1
Embu,109158,50.2,108436,49.8
Kitui,471363,47.5,520192,52.5
Machakos,493690,50.3,488282,49.7
Makueni,350383,48.4,373251,51.6
Nyandarua,121467,48.2,130595,51.8
Nyeri,37521,48.7,39482,51.3
Kirinyaga,82998,49.3,85269,50.7
Murang'a,130374,50.3,128796,49.7
Kiambu,210149,52.5,190429,47.5
Turkana,432508,47.3,482665,52.7
West Pokot,301177,51.6,282786,48.4
Samburu,147360,50.6,143627,49.4
Trans Nzoia,447025,49.9,449137,50.1
Uasin Gishu,347475,47.2,389207,52.8
Elgeyo-Marakwet,118597,48.1,128123,51.9
Nandi,337594,49.9,338611,50.1
Baringo,268511,51.5,253164,48.5
Laikipia,138026,52.6,124140,47.4
Nakuru,519909,49.4,532368,50.6
Narok,352692,51.4,333455,48.6
Kajiado,302287,50.2,299438,49.8
Kericho,343728,50.3,339357,49.7
Bomet,269283,48.9,281157,51.1
Kakamega,891196,49.8,897136,50.2
Vihiga,266892,49.9,267923,50.1
Bungoma,743549,48.1,801033,51.9
Busia,423886,48.7,445710,51.3
Siaya,294087,49.2,303299,50.8
Kisumu,359457,48.6,380728,51.4
Homa Bay,427909,48,463234,52
Migori,418582,49.2,432419,50.8
Kisii,588563,49.9,590139,50.1
Nyamira,282128,48.8,295800,51.2
Nairobi,827956,49.3,850794,50.7
