county,value_1,value_2,value_3,value_4,value_5,value_6
Mombasa,349921,52.6,315107,47.4,,
Kwale,325547,48.6,344044,51.4,,
Kilifi,567549,51.5,534767,48.5,,
Tana River,142111,51.6,133139,48.4,,
Lamu,41124,50.9,39744,49.1,,
Taita-Taveta,85645,51.2,81750,48.8,,
Garissa,181836,52.4,165299,47.6,,
Wajir,275428,50,274914,50,,
Mandera,168333,53.6,145559,46.4,,
Marsabit,171489,51.4,162037,48.6,,
Isiolo,80334,52.1,73774,47.9,,
Meru,346650,47.8,378868,52.2,,
Tharaka-Nithi,96140,50.3,95072,49.7,,
Embu,115969,49.9,116649,50.1,,
Kitui,481999,47.2,538644,52.8,,
Machakos,486592,51.5,457914,48.5,,
Makueni,376520,48.4,400972,51.6,,
Nyandarua,126114,48.5,133726,51.5,,
Nyeri,44713,47.9,48611,52.1,,
Kirinyaga,90496,48.4,96594,51.6,,
Murang'a,150564,50.3,148842,49.7,,
Kiambu,216205,53,191874,47,,
Turkana,439669,47.6,483905,52.4,,
West Pokot,297256,51.6,279300,48.4,,
Samburu,147985,50.5,144883,49.5,,
Trans Nzoia,449475,49.9,451296,50.1,,
Uasin Gishu,382826,46.9,433281,53.1,,
Elgeyo-Marakwet,129456,48.3,138531,51.7,,
Nandi,331222,49.6,336086,50.4,,
Baringo,267759,51.4,253639,48.6,,
Laikipia,143067,52.4,130046,47.6,,
Nakuru,500853,48.7,527466,51.3,,
Narok,384526,49,401008,51,,
Kajiado,299982,49.3,308532,50.7,,
Kericho,336917,49.9,337754,50.1,,
Bomet,409649,48.8,428961,51.2,,
Kakamega,772251,49.5,788763,50.5,,
Vihiga,240488,50.2,238130,49.8,,
Bungoma,735876,47.8,805120,52.2,,
Busia,424280,48.4,452034,51.6,,
Siaya,355330,49.5,362916,50.5,,
Kisumu,385657,48,417809,52,,
Homa Bay,483023,47.6,532158,52.4,,
Migori,504642,48.6,534409,51.4,,
Kisii,544695,49.3,560335,50.7,,
Nyamira,281745,48.3,301582,51.7,,
Nairobi,614474,50.1,611962,49.9,,
