county,value_1,value_2
Mombasa,96,4
Kwale,53,47
Kilifi,60.5,39.5
Tana River,28.7,71.3
Lamu,62.2,37.8
Taita-Taveta,82.4,17.6
Garissa,61.1,38.9
Wajir,34.5,65.5
Mandera,16.2,83.8
Marsabit,24,76
Isiolo,61.5,38.5
Meru,33.9,66.1
Tharaka-Nithi,50.6,49.4
Embu,70.8,29.2
Kitui,45.2,54.8
Machakos,70.7,29.3
Makueni,43.1,56.9
Nyandarua,46.1,53.9
Nyeri,69.1,30.9
Kirinyaga,57.1,42.9
Murang'a,74.1,25.9
Kiambu,94.5,5.5
Turkana,14.4,85.6
West Pokot,17.3,82.7
Samburu,34.1,65.9
Trans Nzoia,49.7,50.3
Uasin Gishu,69.5,30.5
Elgeyo-Marakwet,18,82
Nandi,30.5,69.5
Baringo,39.3,60.7
Laikipia,70.7,29.3
Nakuru,63.9,36.1
Narok,39.6,60.4
Kajiado,79.7,20.3
Kericho,31,69
Bomet,24.3,75.7
Kakamega,63.7,36.3
Vihiga,71.8,28.2
Bungoma,49.1,50.9
Busia,64.6,35.4
Siaya,59.8,40.2
Kisumu,69,31
Homa Bay,28.2,71.8
Migori,27.4,72.6
Kisii,48.5,51.5
Nyamira,46,54
Nairobi,96.9,3.1
