county,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12
Mombasa,0.6,1.2,1.6,1,0.9,0.7,0.2,1.8,1.9,1.6,0.2,2
Kwale,1.1,3.3,4.9,2.6,3.4,1.4,1,16.6,3.5,14.6,0.8,1.7
Kilifi,1.1,2.4,5.9,2.5,2.7,2,0.8,4.6,3.3,6.2,1.8,1.9
Tana River,1.2,14,14.9,5.4,11.7,11.2,0.8,8.6,8.4,8.9,1.4,1.4
Lamu,0.8,1,1.2,1.2,1.6,0.6,0.5,0,0.9,0.5,0.5,2
Taita-Taveta,1,1.8,2.5,1.6,1.7,0.6,0.4,1.3,2.6,2.1,0.1,1.9
Garissa,0.6,7.3,7.2,2,0.8,1.6,0.6,1.7,3.7,4.1,0.6,2
Wajir,0.8,8.2,7.8,6.7,2.3,5.9,0.5,3.7,6.9,7.7,1.1,1.9
Mandera,0.9,4.8,5,3.7,1.4,2,0.5,1.3,6.6,2.5,0.7,1.8
Marsabit,0.9,6.1,3.8,1.8,6.6,7,2,0.9,2.5,3.5,2.2,1.5
Isiolo,1.3,5.2,6.3,2.6,2.9,2.6,1.5,2.4,6.9,6.5,1.1,1.8
Meru,1.2,1.9,2.4,2.1,1.8,1.2,0.6,9.5,2.5,7.4,0.8,1.7
Tharaka-Nithi,1.1,2.2,4,2.4,4.1,1.2,0.5,4.2,4.3,8,1.6,1.8
Embu,1.7,2.5,7.1,4,3.1,1.3,1.2,8.3,6,4.7,1.5,1.7
Kitui,1.1,2.7,3.8,2.3,2.4,1,0.7,29.4,5.7,23.5,1.3,1.8
Machakos,1.5,2.2,4.4,4,4.5,1.2,1.2,12.6,4.9,9.4,3.1,1.8
Makueni,1.2,2.2,3.5,2.4,2.2,1.2,0.7,5.2,5.2,6.2,1.8,1.4
Nyandarua,1.1,1.9,2.6,2.9,1.8,1.3,0.7,0.7,3.2,2.2,1.3,1.5
Nyeri,1.1,1.3,1.7,1.7,1.9,0.7,0.6,1.1,2.4,1.2,0.6,1.9
Kirinyaga,1.2,1.7,2.7,2.4,2.2,0.6,0.5,3.5,3.3,2.7,1.2,1.8
Murang'a,1.6,2.3,2.4,2.6,2.1,1.5,0.8,5.8,4.4,3.5,1.9,1.7
Kiambu,0.8,1.6,1.6,1.8,1.1,1.1,0.4,3.6,2.5,2.9,0.4,1.9
Turkana,1.4,9.9,13.7,4.4,5.5,4.7,1,2.8,13.4,3.4,1.1,1.3
West Pokot,2.1,2.9,7.6,3.5,2.9,2.6,1.7,10.3,7.1,5.3,1.2,1.6
Samburu,1.6,5.1,7.9,3.2,10.5,4.1,1.4,37.2,9.7,9.2,2.4,1.3
Trans Nzoia,1.3,1.7,3.2,2.2,4.2,1.9,0.6,6.5,1.1,6.1,1.4,1.7
Uasin Gishu,0.8,1.8,3.2,2.1,1.1,0.9,0.5,10.7,3.2,11.4,0.8,1.8
Elgeyo-Marakwet,1,2.1,5.2,3.1,7.7,1.8,0.8,19.8,6.1,17.8,1.1,1.5
Nandi,1,1.7,3.6,2.1,1.8,1.1,0.6,2.5,4.2,2.4,1.1,2
Baringo,1.5,2.7,6.3,2.5,4.2,2.2,1.2,7.6,7.1,6.3,3.1,1.6
Laikipia,2.2,4.4,3.7,2.4,4,2.9,1.1,3.3,5.1,3.1,1.8,1.9
Nakuru,1.2,1.6,2.9,2.2,1.6,1.5,0.5,3.3,2.3,3,0.3,1.9
Narok,2.2,6,9.9,5.2,7.7,2.2,1.2,42.2,7.7,30.2,1.1,1.5
Kajiado,1.9,6.7,8.5,5.3,5.1,2.7,0.7,7.1,7,13.1,4,1.6
Kericho,1.1,1.9,3.6,2.2,2.7,2.1,0.5,0.3,3.8,0.3,0.2,2
Bomet,1,1.5,3.5,1.7,3.1,1.5,0.6,2.1,4.2,2.3,2.4,1.8
Kakamega,0.9,1.5,2.1,2,1.4,0.9,0.5,2.5,1.3,2.6,0.4,2
Vihiga,0.8,1.1,2,1.1,3.4,1,0.3,4.2,2.7,3.2,0.2,1.8
Bungoma,0.9,1.3,2.1,1.6,2.2,1.4,0.4,6.3,1.5,5.1,0.4,1.8
Busia,0.7,1.3,2.1,1.5,1.6,1,0.6,0.1,1.9,0.1,0.2,1.9
Siaya,0.8,1.5,2.9,2.2,2.9,1.7,0.3,3.3,2,2.9,1.5,1.6
Kisumu,0.6,0.9,1.6,1.1,1.2,0.9,0.3,0.9,1.1,1,0.7,1.7
Homa Bay,1.2,2,4.3,2.1,2.7,1.7,0.6,4.7,1.6,5.1,1.3,1.9
Migori,1.2,1.7,3.5,2.5,3.6,1.3,0.6,1.5,2,1.4,0.4,1.5
Kisii,0.9,1.4,2.8,2.1,1.4,1.5,0.7,3.4,2.2,1.5,0.4,1.9
Nyamira,1,1.7,2.2,1.7,2.3,1.1,0.8,1.5,2.1,1.4,0.9,1.9
Nairobi,0.4,0.8,1.2,0.8,0.5,0.8,0.2,2.1,1.4,1.7,0.4,1.9
