county,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18
Mombasa,0.4,0,0,0,1.4,45.6,2.9,50.3,6.3,0,37.6,0,0,2.4,0,46.3,3.5,405415
Kwale,0.2,0,0,0.3,0,12.8,0.6,13.9,55,0.1,28.3,0,0,2.3,0,85.7,0.4,183739
Kilifi,1.7,0,0,0,0,19.6,0.2,21.6,62,0,13.2,0,0,2.5,0,77.7,0.7,407221
Tana River,0.7,0,0,0,0,5,0,5.7,56.2,0,37,0,0,0.4,0,93.7,0.6,74962
Lamu,0.7,0,0,0,0.1,18.2,0,19,44.8,0,34.2,0,0,2.1,0,81,0,40543
Taita-Taveta,0,0,0,0.2,0.7,20.4,1.2,22.5,55.3,0,20.1,0,0,0.9,0.5,76.9,0.6,108463
Garissa,1.3,0.1,0,0,0,1.3,0.1,2.7,60.3,0.5,36.3,0,0,0.1,0.1,97.3,0,180468
Wajir,0.5,0,0,0,0,1.7,0,2.2,86.9,0.9,9.1,0,0,0.9,0,97.8,0,152058
Mandera,0.5,0,0,0,0,0.7,0,1.2,87.4,0,7.2,0,0,4,0,98.6,0.2,167096
Marsabit,1,0,0,0.1,0,4.8,0,5.9,83.4,0.4,9.2,0,0,1.1,0,94.1,0,87421
Isiolo,2.3,0,0,0.3,0,18.6,0,21.2,54.1,0.3,24.4,0,0,0,0,78.8,0,63947
Meru,0.6,0,0,0,0.6,14.8,0,16,71.4,0,10.7,0,0,1.9,0,84,0,463535
Tharaka-Nithi,0.7,0.1,0,0.3,1.6,16.2,0.1,18.8,72.9,0.4,6.7,0,0,1.2,0,81.2,0,120886
Embu,0.7,0,0,0,0.9,22.9,0,24.6,71.6,0,3.7,0,0,0.1,0,75.4,0,199046
Kitui,0,0,0,0,0.2,23.9,0.3,24.4,64.1,0,10.9,0,0,0.6,0,75.6,0,275514
Machakos,0,0,0,0.2,0.2,32.6,0.9,33.8,57.6,0,7.8,0,0,0,0.7,66.2,0,430469
Makueni,0.3,0,0,0.4,0,10.3,0,11.1,79.2,0,8.7,0,0,0.9,0.1,88.9,0.1,257105
Nyandarua,1,0,0,0,0.4,19.2,0.2,20.8,68.9,0,10.1,0,0,0.3,0,79.2,0,198250
Nyeri,4.7,0,0.3,0.6,1.1,32.2,0.1,38.9,52.6,0,6.8,0,0.3,0.7,0.1,60.5,0.5,270743
Kirinyaga,0.5,0,0,0,0.4,31.8,0.6,33.3,59.1,0,7,0,0,0.4,0,66.5,0.2,217216
Murang'a,1.1,0,0,0,0.4,21.6,0.3,23.5,72.9,0,2.4,0,0,0.7,0.5,76.5,0,385599
Kiambu,0.2,0,0,0,0.5,66.4,3,70,25,0.2,3.1,0,0,0.7,1.1,30,0,997101
Turkana,0,0,0,0,0,3.2,0,3.2,78.6,0,18,0,0,0.1,0,96.8,0,219588
West Pokot,0.1,0,0,0.3,0,3.2,0,3.6,89,0.5,6.1,0.1,0.7,0,0,96.4,0,183115
Samburu,0.4,0,0,0,0,6.4,0,6.8,62.2,0,30.9,0,0,0.1,0,93.2,0,95708
Trans Nzoia,2.5,0,0,0,3.2,16.4,0.1,22.2,63.3,0.5,13.3,0,0,0.6,0,77.8,0,266538
Uasin Gishu,2.5,0,0,0.2,0.2,38.5,0.9,42.3,45.9,0,11.2,0.3,0,0.3,0,57.7,0,351899
Elgeyo-Marakwet,1.4,0,0,0,0,6.9,0,8.3,84.9,0,6.3,0,0,0.4,0,91.6,0,110356
Nandi,2.4,0,0,0,0,12.4,1,15.8,78.7,0,5.1,0,0,0.4,0,84.2,0,226515
Baringo,0.1,0,0,0.5,0,3.9,0,4.6,84.6,0,10.3,0,0,0.4,0,95.4,0,157303
Laikipia,2.1,0,0,0.3,0.4,31,0.8,34.6,51.5,0,13.5,0.2,0,0.3,0,65.4,0,154631
Nakuru,1.2,0,0,0,0.8,32.9,0.8,35.7,41,0,21.5,0.4,0,1.2,0.1,64.3,0,673026
Narok,0.8,0,0,0,0,17.5,0,18.2,61.4,0,20.3,0,0,0.1,0,81.8,0,263863
Kajiado,3,0,0,0.2,0,51.8,1,56,24.6,0,18.9,0,0,0.5,0,44,0,371234
Kericho,0.1,0,0,0,0.4,10.8,0.3,11.7,80.6,0.3,5.9,0,0,1.2,0,88,0.4,233615
Bomet,2.1,0,0,0,0,6.3,0,8.4,88.2,0.3,3.1,0,0,0,0,91.6,0,219222
Kakamega,0.4,0,0,0.2,0,17.8,0.3,18.7,75.3,0,5.3,0,0,0.6,0.1,81.3,0,484205
Vihiga,0.4,0,0,0.6,0,11,0,12,85.2,0,2.7,0,0,0.1,0,88,0,160520
Bungoma,0.6,0,0,0,0,13.3,0.2,14,77.1,0.1,8.8,0,0,0,0,86,0,470168
Busia,1.3,0,0,4.1,0,12.3,0.1,17.8,67.5,0,12.5,0,0,2.1,0,82.1,0.1,216855
Siaya,0.1,0,0,0.4,0,10.3,0.6,11.4,74.1,0,14.2,0,0,0.3,0,88.6,0,247647
Kisumu,1.1,0,0,0,0,29,3,33.1,48.9,0,16,1.2,0,0.5,0,66.6,0.2,338619
Homa Bay,1.5,0,0,2.5,1.1,16.7,0,21.8,68.6,0.4,7.8,0.3,0.1,1,0,78.2,0,270043
Migori,1.6,0,0,0.3,0,9.1,1,12.1,67,0.3,20.2,0,0,0.4,0,87.9,0,267547
Kisii,1.8,0,0,0,0,18.5,0.4,20.7,78,0,1.4,0,0,0,0,79.3,0,371985
Nyamira,1,0,0,0,0,11.7,0,12.7,84.7,0,2.3,0,0,0,0.3,87.3,0,183594
Nairobi,3.3,0.1,0,0.1,0.7,81,10,95.1,0.2,0.1,2.7,0,0,0.2,1.3,4.5,0.3,1661533
