county,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16
Mombasa,96.4,3.6,474336,,,,,,,,,,,,,
Kwale,82.4,17.6,139028,,,,,,,,,,,,,
Kilifi,95.8,4.2,487050,,,,,,,,,,,,,
Tana River,83.2,16.8,72067,,,,,,,,,,,,,
Lamu,53.2,46.8,6713,,,,,,,,,,,,,
Taita-Taveta,94.4,5.6,119358,,,,,,,,,,,,,
Garissa,90.2,9.8,53233,,,,,,,,,,,,,
Wajir,71.7,28.3,21644,,,,,,,,,,,,,
Mandera,84.2,15.8,35513,,,,,,,,,,,,,
Marsabit,76.5,23.5,62937,,,,,,,,,,,,,
Isiolo,61.6,38.4,10064,,,,,,,,,,,,,
Meru,97.3,2.7,540121,,,,,,,,,,,,,
Tharaka-Nithi,94.3,5.7,71236,,,,,,,,,,,,,
Embu,67.6,32.4,273715,,,,,,,,,,,,,
Kitui,97.5,2.5,259975,,,,,,,,,,,,,
Machakos,96.9,3.1,450376,,,,,,,,,,,,,
Makueni,97.8,2.2,495460,,,,,,,,,,,,,
Nyandarua,87.6,12.4,186155,,,,,,,,,,,,,
Nyeri,92,8,337231,,,,,,,,,,,,,
Kirinyaga,76.3,23.7,205572,,,,,,,,,,,,,
Murang'a,92.4,7.6,458816,,,,,,,,,,,,,
Kiambu,68.1,31.9,813714,,,,,,,,,,,,,
Turkana,80,20,97607,,,,,,,,,,,,,
West Pokot,98,2,73787,,,,,,,,,,,,,
Samburu,90.1,9.9,44316,,,,,,,,,,,,,
Trans Nzoia,81.4,18.6,465777,,,,,,,,,,,,,
Uasin Gishu,91.5,8.5,370308,,,,,,,,,,,,,
Elgeyo-Marakwet,83,17,87408,,,,,,,,,,,,,
Nandi,78.8,21.2,368373,,,,,,,,,,,,,
Baringo,84.5,15.5,233595,,,,,,,,,,,,,
Laikipia,91.2,8.8,269496,,,,,,,,,,,,,
Nakuru,95,5,1010856,,,,,,,,,,,,,
Narok,70,30,196209,,,,,,,,,,,,,
Kajiado,86.5,13.5,153171,,,,,,,,,,,,,
Kericho,81.1,18.9,306891,,,,,,,,,,,,,
Bomet,57.7,42.3,167639,,,,,,,,,,,,,
Kakamega,99.2,0.8,901815,,,,,,,,,,,,,
Vihiga,99.3,0.7,228523,,,,,,,,,,,,,
Bungoma,91.2,8.8,572017,,,,,,,,,,,,,
Busia,99.9,0.1,415128,,,,,,,,,,,,,
Siaya,98.2,1.8,325458,,,,,,,,,,,,,
Kisumu,83.7,16.3,402622,,,,,,,,,,,,,
Homa Bay,85.2,14.8,181738,,,,,,,,,,,,,
Migori,88.4,11.6,401334,,,,,,,,,,,,,
Kisii,84.8,15.2,313318,,,,,,,,,,,,,
Nyamira,79.2,20.8,108031,,,,,,,,,,,,,
Nairobi,87.9,12.1,1819702,,,,,,,,,,,,,
