county,value_1,value_2,value_3,value_4
Mombasa,85.3,14.7,0,782450
Kwale,95.3,4.7,0,517666
Kilifi,87.9,12.1,0,858379
Tana River,89.9,10.1,0,158531
Lamu,97.3,2.7,0,103172
Taita-Taveta,75.5,24.5,0,212006
Garissa,92.5,7.5,0,497232
Wajir,88.9,11.1,0,446582
Mandera,95.8,4.2,0,360427
Marsabit,96,4,0,236235
Isiolo,83,17,0,140195
Meru,70.2,29.8,0,965240
Tharaka-Nithi,80.3,19.7,0,234659
Embu,85.4,14.6,0,423095
Kitui,84.3,15.7,0,675990
Machakos,82.2,17.8,0,906382
Makueni,97.1,2.9,0,651569
Nyandarua,86,14,0,403392
Nyeri,73.7,26.3,0,529451
Kirinyaga,75.1,24.9,0,418563
Murang'a,70.8,29.2,0,648880
Kiambu,86.4,12.4,1.2,1562302
Turkana,90.4,9.6,0,393839
West Pokot,94.5,5.5,0,301155
Samburu,89.9,10.1,0,134807
Trans Nzoia,85.4,14.2,0.3,589829
Uasin Gishu,80.4,19.6,0,723932
Elgeyo-Marakwet,87.6,12.4,0,246373
Nandi,83.3,16.7,0,538299
Baringo,91.9,8.1,0,339062
Laikipia,69.3,30.7,0,330961
Nakuru,85.2,14.8,0,1281346
Narok,93.9,6.1,0,581781
Kajiado,88.4,11.6,0,753613
Kericho,99.2,0.8,0,528064
Bomet,93.7,6.3,0,496555
Kakamega,84.6,15.4,0,1145830
Vihiga,95.4,4.3,0.4,350577
Bungoma,90.3,9.4,0.3,896366
Busia,91.5,8.5,0,505047
Siaya,73.2,26.8,0,550475
Kisumu,84.9,14.9,0.2,672041
Homa Bay,85.6,14.4,0,523438
Migori,82.5,17.5,0,521546
Kisii,79.5,20.5,0,766133
Nyamira,90.6,9.4,0,325375
Nairobi,75.5,24.5,0,2956206
