county,value_1,value_2,value_3
Mombasa,71.8,28.2,782450
Kwale,84,16,517666
Kilifi,56.3,43.7,858379
Tana River,63.7,36.3,158531
Lamu,46.8,53.2,103172
Taita-Taveta,74.7,25.3,212006
Garissa,90.3,9.7,497232
Wajir,91.9,8.1,446582
Mandera,17.7,82.3,360427
Marsabit,87.8,12.2,236235
Isiolo,96.4,3.6,140195
Meru,68.9,31.1,965240
Tharaka-Nithi,52.2,47.8,234659
Embu,70.1,29.9,423095
Kitui,67.2,32.8,675990
Machakos,32.3,67.7,906382
Makueni,22.6,77.4,651569
Nyandarua,46.2,53.8,403392
Nyeri,65.3,34.7,529451
Kirinyaga,44.9,55.1,418563
Murang'a,64,36,648880
Kiambu,71.7,28.3,1562302
Turkana,88.5,11.5,393839
West Pokot,72.8,27.2,301155
Samburu,54.8,45.2,134807
Trans Nzoia,34.5,65.5,589829
Uasin Gishu,62.4,37.6,723932
Elgeyo-Marakwet,57.3,42.7,246373
Nandi,41.7,58.3,538299
Baringo,63.9,36.1,339062
Laikipia,30.3,69.7,330961
Nakuru,60.3,39.7,1281346
Narok,67.1,32.9,581781
Kajiado,82.1,17.9,753613
Kericho,61.8,38.2,528064
Bomet,58.4,41.6,496555
Kakamega,87.8,12.2,1145830
Vihiga,78.7,21.3,350577
Bungoma,70.7,29.3,896366
Busia,91.4,8.6,505047
Siaya,78.2,21.8,550475
Kisumu,62.5,37.5,672041
Homa Bay,69.1,30.9,523438
Migori,32.3,67.7,521546
Kisii,54.5,45.5,766133
Nyamira,52.3,47.7,325375
Nairobi,53.8,46.2,2956206
