county,value_1,value_2,value_3,value_4
Mombasa,74.5,25.5,0,782450
Kwale,89.7,10.3,0,517666
Kilifi,83.6,16.4,0,858379
Tana River,79.2,20.8,0,158531
Lamu,96.2,3.8,0,103172
Taita-Taveta,66.1,33.9,0,212006
Garissa,98,2,0,497232
Wajir,97.5,2.5,0,446582
Mandera,96.7,3.3,0,360427
Marsabit,88.8,11.2,0,236235
Isiolo,85.7,14.3,0,140195
Meru,78.8,21.2,0,965240
Tharaka-Nithi,83.4,16.6,0,234659
Embu,79,21,0,423095
Kitui,92.2,7.8,0,675990
Machakos,73.4,26.6,0,906382
Makueni,52.4,47.6,0,651569
Nyandarua,71.6,28.4,0,403392
Nyeri,67.2,32.8,0,529451
Kirinyaga,63.4,36.6,0,418563
Murang'a,72.6,27.4,0,648880
Kiambu,66.9,31.9,1.2,1562302
Turkana,73.9,26.1,0,393839
West Pokot,95,5,0,301155
Samburu,76.9,23.1,0,134807
Trans Nzoia,82.4,17.3,0.3,589829
Uasin Gishu,77.9,22.1,0,723932
Elgeyo-Marakwet,79.2,20.8,0,246373
Nandi,82.5,17.5,0,538299
Baringo,71.1,28.9,0,339062
Laikipia,69.7,30.3,0,330961
Nakuru,48.7,51.3,0,1281346
Narok,84.2,15.8,0,581781
Kajiado,93,7,0,753613
Kericho,89.6,10.4,0,528064
Bomet,75,25,0,496555
Kakamega,82.8,17.2,0,1145830
Vihiga,94.9,4.7,0.4,350577
Bungoma,86.5,13.2,0.3,896366
Busia,82,18,0,505047
Siaya,64.7,35.3,0,550475
Kisumu,74.3,25.6,0.2,672041
Homa Bay,85,15,0,523438
Migori,37.1,62.9,0,521546
Kisii,72.4,27.6,0,766133
Nyamira,73.8,26.2,0,325375
Nairobi,69.7,30.3,0,2956206
