county,value_1,value_2,value_3
Mombasa,6.8,93.2,197156
Kwale,37.1,62.9,21170
Kilifi,4.1,95.9,104402
Tana River,29.3,70.7,29649
Lamu,8.6,91.4,2225
Taita-Taveta,3.1,96.9,47393
Garissa,4.9,95.1,12379
Wajir,13.1,86.9,16569
Mandera,2.1,97.9,9688
Marsabit,15,85,22528
Isiolo,18.8,81.2,12617
Meru,10.5,89.5,113632
Tharaka-Nithi,5.6,94.4,12285
Embu,21,79,70990
Kitui,21.9,78.1,233318
Machakos,4.5,95.5,222290
Makueni,2.8,97.2,383958
Nyandarua,15.6,84.4,68101
Nyeri,6.6,93.4,133818
Kirinyaga,12.6,87.4,73871
Murang'a,3.8,96.2,152605
Kiambu,16,84,163168
Turkana,21.9,78.1,89663
West Pokot,55.1,44.9,9626
Samburu,4.4,95.6,48448
Trans Nzoia,5.3,94.7,173981
Uasin Gishu,6.4,93.6,96159
Elgeyo-Marakwet,20.4,79.6,17782
Nandi,11.3,88.7,63891
Baringo,19.8,80.2,24243
Laikipia,6.2,93.8,91251
Nakuru,10.1,89.9,265230
Narok,7.5,92.5,102139
Kajiado,24.8,75.2,45228
Kericho,6.2,93.8,32456
Bomet,2.8,97.2,118411
Kakamega,11.2,88.8,14339
Vihiga,10.1,89.9,13219
Bungoma,5.5,94.5,20128
Busia,39.4,60.6,51255
Siaya,2.2,97.8,206918
Kisumu,4.4,95.6,297612
Homa Bay,4.8,95.2,52364
Migori,23.4,76.6,107321
Kisii,9.1,90.9,146898
Nyamira,2.5,97.5,119781
Nairobi,7.2,92.8,458394
