No,Measure,Percentage
1,Regulate development on land,83.3
2,"Preparation of development control tools e.g. Area zoning plans, action plans, transport plans etc",81
3,Granting development approval or rejection,81
4,"Guide development to align to policies, standards and to achieve the desired outcome",78.6
5,Processing Applications,78.6
6,Promoting orderly development and esthetics,76.2
7,Provision and implementation of an approved physical and land use development plan,66.7
8,Managing and coordinating housing development activities within the county,59.5
9,Public participation,57.1
10,Protecting and maintaining space meant for housing development,57.1
11,Optimal usage,50
12,Efficiently use of land,50
13,Environmental audit and monitoring,38.1
14,Others,2.4
