Activity Status,Bungalow,Flat / Apartment,Maisonette,“Swahili/ Compound Houses Sharing,Compound Houses not,Shanty,“Manyatta/ Traditional House/Hut”,Townhouse
% % % % % % % %,,,,,,,,
Working,52.2,12.4,0.8,21.6,3.5,0.6,8.7,0.3
Unemployed,30.6,13.3,0.5,31.1,9.4,0.5,14.4,0.2
Outside Labour,53.7,6.2,1.4,16.9,4.2,0.3,16.9,0.5
Force,,,,,,,,
Total,51.8,11.5,0.9,21.2,3.7,0.5,10,0.3
Rural,,,,,,,,
Working,73.7,0.7,0.5,9.8,1.5,0.3,13.3,0.1
Unemployed,49.6,0,0,17.4,2.3,0.2,30.5,0
Outside Labour Force,63.9,0.4,0.9,8.2,1.6,0.3,24.5,0.2
Total,71.8,0.7,0.5,9.7,1.6,0.3,15.3,0.1
Urban,,,,,,,,
Working,18,30.8,1.3,40.3,6.6,1.1,1.4,0.6
Unemployed,16,23.5,0.8,41.7,15,0.6,2,0.4
Outside Labour Force,34.8,17,2.2,33.1,9,0.4,2.7,0.9
Total,20,28.8,1.4,39.4,7.2,1,1.6,0.6
