Age,Persons without Disability Persons with Disability Prevalence (%),col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
2024-09-05 00:00:00,6084808,3000865,3083943,62026,33501,28525,1,1.1,0.9
2014-10-01 00:00:00,5855738,2896446,2959292,59978,29914,30064,1,1,1
15-19,5532597,2745461,2787136,71550,32882,38668,1.3,1.2,1.4
20-24,5128622,2560612,2568010,48799,21349,27450,0.9,0.8,1.1
25-29,4655028,2313388,2341640,59559,41733,17826,1.3,1.8,0.8
30-34,4011896,2007332,2004564,36059,17151,18908,0.9,0.8,0.9
35-39,3186140,1590305,1595835,41886,16246,25640,1.3,1,1.6
40-44,2602681,1298041,1304640,57420,21062,36358,2.2,1.6,2.7
45-49,2055366,1028544,1026822,60220,18644,41576,2.8,1.8,3.9
50-54,1507730,751547,756183,60021,18778,41243,3.8,2.4,5.2
55-59,1102421,540814,561607,53294,21254,32040,4.6,3.8,5.4
60-64,804160,397078,407082,64866,22858,42008,7.5,5.4,9.4
65-69,583338,287288,296050,58756,24772,33984,9.2,7.9,10.3
70-74,521561,251477,270084,70817,27569,43248,12,9.9,13.8
75-79,287275,149317,137958,46986,14437,32549,14.1,8.8,19.1
80-84,174824,72977,101847,43775,18582,25193,20,20.3,19.8
85-89,89395,43623,45772,24751,10492,14259,21.7,19.4,23.8
90-94,48359,21665,26694,9784,3195,6589,16.8,12.9,19.8
95-99,21050,5994,15056,6496,1630,4866,23.6,21.4,24.4
100+,18555,7156,11399,5033,823,4210,21.3,10.3,27
Total,44271544,21969930,22301614,942076,396872,545204,2.1,1.8,2.4
