col_1,col_2,col_3,Not in Labour Force,col_5,Labour Force Participation Rate,Employment to Population Ratio,Unemployment Rate
Age,Employed,Unemployed,,Total,,,
15-19,886805,158976,4558365,5604147,18.7,15.8,15.2
20-24,2117154,610535,2449732,5177420,52.7,40.9,22.4
25-29,3183464,547772,983349,4714586,79.1,67.5,14.7
30-34,3199851,256878,591226,4047955,85.4,79,7.4
35-39,2710648,128079,389299,3228026,87.9,84,4.5
40-44,2291574,81311,287216,2660101,89.2,86.1,3.4
45-49,1848444,52540,214603,2115586,89.9,87.4,2.8
50-54,1313818,39380,214553,1567750,86.3,83.8,2.9
55-59,958386,27403,169927,1155716,85.3,82.9,2.8
60-64,659810,9043,200172,869026,77,75.9,1.4
Total,19169953,1911918,10058442,31140313,67.7,61.6,9.1
RURAL,,,,,,,
15-19,758015,84370,3223860,4066245,20.7,18.6,10
20-24,1449291,319957,1609917,3379165,52.4,42.9,18.1
25-29,1917732,283961,610244,2811937,78.3,68.2,12.9
30-34,1956603,115735,372694,2445031,84.8,80,5.6
35-39,1688012,60125,250431,1998568,87.5,84.5,3.4
40-44,1473676,53821,175516,1703013,89.7,86.5,3.5
45-49,1219218,23768,142701,1385687,89.7,88,1.9
50-54,907694,19063,127390,1054148,87.9,86.1,2.1
55-59,709095,10907,110934,830936,86.6,85.3,1.5
60-64,529686,3684,128016,661386,80.6,80.1,0.7
Total,12609022,975391,6751703,20336116,66.8,62,7.2
URBAN,,,,,,,
15-19,128791,74606,1334505,1537902,13.2,8.4,36.7
20-24,667862,290577,839815,1798254,53.3,37.1,30.3
25-29,1265732,263811,373106,1902649,80.4,66.5,17.2
30-34,1243248,141144,218532,1602923,86.4,77.6,10.2
35-39,1022636,67954,138868,1229458,88.7,83.2,6.2
40-44,817897,27491,111700,957088,88.3,85.5,3.3
45-49,629226,28772,71902,729899,90.1,86.2,4.4
50-54,406124,20316,87162,513602,83,79.1,4.8
55-59,249291,16496,58993,324780,81.8,76.8,6.2
60-64,130125,5360,72156,207641,65.2,62.7,4
Total,6560931,936527,3306740,10804198,69.4,60.7,12.5
MALE,,,,,,,
15-19,505852,76755,2195736,2778343,21,18.2,13.2
20-24,1230833,262075,1089053,2581960,57.8,47.7,17.6
25-29,1801999,227442,325680,2355121,86.2,76.5,11.2
30-34,1797504,88778,138201,2024483,93.2,88.8,4.7
35-39,1481672,39865,85014,1606551,94.7,92.2,2.6
40-44,1205860,27289,85955,1319103,93.5,91.4,2.2
45-49,971254,18998,56936,1047188,94.6,92.7,1.9
50-54,700604,23480,46240,770325,94,90.9,3.2
55-59,500191,16241,45637,562069,91.9,89,3.1
60-64,343468,4149,72319,419936,82.8,81.8,1.2
Total,10539237,785071,4140771,15465079,73.2,68.1,6.9
FEMALE,,,,,,,
15-19,380954,82221,2362629,2825804,16.4,13.5,17.8
20-24,886321,348460,1360679,2595459,47.6,34.1,28.2
25-29,1381466,320331,657669,2359465,72.1,58.5,18.8
30-34,1402347,168101,453025,2023472,77.6,69.3,10.7
35-39,1228976,88214,304285,1621475,81.2,75.8,6.7
40-44,1085714,54022,201261,1340998,85,81,4.7
45-49,877189,33542,157667,1068399,85.2,82.1,3.7
50-54,613214,15900,168312,797426,78.9,76.9,2.5
55-59,458195,11162,124290,593647,79.1,77.2,2.4
60-64,316342,4894,127854,449090,71.5,70.4,1.5
Total,8630716,1126846,5917672,15675235,62.2,55.1,11.5
