col_1,"Disability Status
Households with persons           Households with persons                          Total without disability                         with disability
No.                    %                     No.                      %                    No.                    %",col_3,col_4,col_5,col_6,col_7
Factors,,,,,,
High cost of rent,216119,99.5,1169,0.5,217288,100
High cost of land,19609,100,0,0,19609,100
Lack of valid legal ownership of land documentation,3365,100,0,0,3365,100
Don’t qualify for a loan,1657,100,0,0,1657,100
High cost of materials,114327,96.9,3615,3.1,117942,100
High interest rates on loan/ mortgage,3021,100,0,0,3021,100
Houses too costly to buy,34705,100,0,0,34705,100
Low income,1840138,97.4,49502,2.6,1889640,100
Proximity to basic amenities,82769,97.6,2010,2.4,84780,100
Not interested in moving,47530,96.2,1869,3.8,49398,100
Not stated,1793,61.6,1116,38.4,2910,100
Total,2365034,97.6,59282,2.4,2424316,100
