Built Environment Professionals,High cost,"Reasons Not Used
Unaware               Unavailability",col_4,No need,Total
Architect,2.3,0.8,0.2,4.1,7.3
Structural Engineer,1.8,0.9,0.2,4.6,7.5
Quantity Surveyor,1.8,1,0.2,4.8,7.8
Land Surveyor,1.9,0.8,0.2,4.8,7.6
Electrical Engineer,1.7,0.6,0.1,4.6,7
Mechanical Engineer,1.4,0.9,0.2,5.5,7.9
Civil Engineer,1.6,0.8,0.2,5.3,7.8
Valuer,1.4,1.1,0.2,5.2,7.9
Land scape Architect,1.4,1.1,0.3,5.1,7.9
Interior Designer,1.5,0.9,0.2,5.3,7.8
Environmental Impact Assessment &amp; Audit Expert,1.2,1.44,0.2,5.1,7.9
Planner,1.5,0.9,0.2,5,7.7
Estate Agents,1.1,0.9,0.4,5.6,7.9
Total,20.4,11.9,2.7,65.1,100
