Type of Residential Property,Price (KSh)
Bungalow two bedrooms,19340714
Bungalow three bedrooms,19503003
Bungalow four and above bedrooms,49969590
Maisonette two bedrooms,13500000
Maisonette three bedrooms,20883333
Maisonette four and above bedrooms,95979797
Flat/Apartment bedsitter/ studio,4573636
Flat/Apartmentone bedrooms,6421257
Flat/Apartment two bedrooms,12420224
Flat/Apartment three bedrooms,19493357
Flat/Apartment four and above bedrooms,37921597
Town House-one bedroom,14050000
Town House-two bedrooms,17349939
Town House-three bedrooms,23260606
Town House-four and above bedrooms,61144495
Student hostels single rooms,1250000
