Type of Residential Property,Mombasa                Kilifi,col_3,Other Coast,Machakos,Kiambu,Kajiado             Other Counties,col_8,"Nairobi          Nairobi
Upper            Upper
Middle",col_10,Nairobi Middle,Nairobi Lower,Total
Bungalow two bedrooms,16714286,17714286,..,..,..,2866667,13247500,66333333,..,11150000,6500000,19340714
Bungalow three bedrooms,27656026,37376136,7499000,8814238,16384906,7270202,16166667,89833333,34417292,13710419,7247500,19503003
Bungalow four and above bedrooms,57781884,63008824,52866598,17044737,39565705,13850000,65684286,91442652,35754888,14454651,8133333,49969590
Maisonette two bedrooms,..,..,..,..,8000000,..,30000000,..,..,..,2500000,13500000
Maisonette three bedrooms,..,..,..,14500000,14700000,11200000,..,88000000,31333333,13533333,..,20883333
Maisonette four and above bedrooms,96056818,75416667,..,23150000,58678571,28250000,60421053,121204508,42097368,15090909,6500000,95979797
Flat/Apartment bedsitter/studio,..,..,..,2150000,5000000,..,..,..,..,..,4770000,4573636
Flat/ Apartmentone bedrooms,7866216,11200000,..,4219444,5498366,2200000,5781818,60000000,21924000,13165194,5854471,6421257
Flat/Apartment two bedrooms,12412609,12650000,6000000,6004492,12383440,5575000,7910714,68000000,23945112,13426535,7383965,12420224
Flat/Apartment three bedrooms,20431008,17600000,10250000,6952981,15032768,7933333,19234000,74870000,26824974,14909241,7400000,19493357
Flat/Apartment four and above bedrooms,40915254,..,..,12100000,25941667,21875000,19500000,91903043,29238826,15743902,7550000,37921597
Town House-one bedroom,..,..,..,..,,..,..,..,26500000,..,1600000,14050000
Town House-two bedrooms,6500000,..,..,..,18750000,3200000,..,50399633,..,..,6500000,17349939
Town House- three bedrooms,25967667,31937500,..,9150000,25453571,7647222,..,83571429,30425000,12793333,8325000,23260606
Town House- four and above bedrooms,54575000,72833333,61128471,28946154,49462209,16857654,45000000,97006447,35125676,14480000,8075000,61144495
Student hostels single rooms,..,..,..,..,..,..,1250000,..,..,..,..,1250000
