S/No.,Measures,Percentage,col_4,col_5,col_6,col_7,col_8,col_9,col_10
1,Reduce high interest rate,16.7,,,,,,,
2,Create Tax incentives,14.4,,,,,,,
3,Use alternative appropriate building technologies and materials,13.3,,,,,,,
4,Review institutional and legal frameworks,12.2,,,,,,,
5,Subsidize cost of materials,11.1,,,,,,,
6,"Create a ""one-stop-shop"" approval process",7.8,,,,,,,
7,Set aside more land,7.8,,,,,,,
8,Benchmark property development process,2.2,,,,,,,
9,Increase household income,2.2,,,,,,,
10,Promote awareness of approval requirements,2.2,,,,,,,
11,Proper exposure of the people,2.2,,,,,,,
12,Reduce land-related transfer cost,2.2,,,,,,,
13,Create on line approval facility,1.1,,,,,,,
14,Empower communities,1.1,,,,,,,
15,Government should implement the infrastructure required,1.1,,,,,,,
16,Mechanism to reduce poverty,1.1,,,,,,,
17,Zero rate construction materials ,1.1,,,,,,,
