county,urban_household_share_pct,homeownership_rate_pct,avg_urban_rent_ksh,rent_to_expenditure_pct,purchased_home_pct,dwelling_fit_pct,improved_water_access_pct,improved_sanitation_pct,aware_of_ahp_pct,building_approval_days,haqi_quality_component,haqi_water_component,haqi_sanitation_component,haqi_affordability_component,housing_affordability_quality_index,housing_finance_access_estimated_score
Nairobi,100.0,7.7,18697.0,38.0,34.8,51.8,99.4,97.5,61.6,14.0,100.0,99.19137466307278,97.96747967479675,62.971698113207545,90.2,99.8
Kiambu,73.8,44.8,8271.0,34.9,2.9,45.5,95.1,99.0,52.1,30.0,87.81431334622825,93.39622641509433,100.0,70.28301886792451,87.0,100.0
Mombasa,100.0,23.5,11869.0,34.6,4.7,37.6,100.0,96.0,60.6,30.0,72.53384912959382,100.0,95.9349593495935,70.99056603773586,82.3,95.3
Taita-Taveta,31.2,60.2,7722.0,31.5,0.0,17.5,88.7,93.0,56.3,14.0,33.65570599613153,84.77088948787063,91.869918699187,78.30188679245282,66.7,60.5
Laikipia,29.3,52.5,9444.0,33.8,1.0,26.2,78.2,85.9,81.4,21.0,50.483558994197296,70.61994609164421,82.24932249322494,72.87735849056605,66.5,83.1
Uasin Gishu,53.5,49.8,5893.0,38.5,3.6,28.6,87.6,76.9,51.2,7.0,55.12572533849131,83.28840970350404,70.05420054200543,61.79245283018868,65.4,66.4
Nakuru,54.9,51.6,,33.3,4.4,26.7,89.2,67.5,78.9,50.0,51.45067698259188,85.44474393530997,57.3170731707317,74.05660377358491,65.1,83.6
Embu,15.4,78.9,5556.0,35.8,1.7,19.9,77.9,93.4,64.7,14.0,38.297872340425535,70.2156334231806,92.41192411924119,68.16037735849056,63.0,72.2
Machakos,35.7,69.0,9361.0,34.6,0.5,19.0,79.7,87.5,49.7,14.0,36.55705996131528,72.64150943396227,84.41734417344173,70.99056603773586,62.0,68.2
Kirinyaga,24.2,71.5,6555.0,29.2,1.3,21.6,76.1,69.5,49.1,14.0,41.58607350096712,67.78975741239891,60.02710027100271,83.72641509433961,61.1,79.7
Nyeri,22.7,56.2,11286.0,38.2,0.4,20.9,90.3,73.4,63.7,21.0,40.232108317214696,86.92722371967655,65.31165311653118,62.499999999999986,60.2,96.0
Lamu,30.1,44.2,4750.0,29.9,11.9,13.1,91.7,67.5,6.5,30.0,25.145067698259187,88.81401617250674,57.3170731707317,82.07547169811319,58.5,88.8
Murang'a,13.1,77.8,6830.0,39.8,0.0,16.2,81.8,89.7,70.7,30.0,31.14119922630561,75.47169811320754,87.39837398373984,58.72641509433962,58.2,85.0
Kisumu,43.1,62.8,13771.0,43.9,2.7,21.5,84.8,79.9,59.9,30.0,41.3926499032882,79.51482479784366,74.11924119241193,49.05660377358491,57.5,81.9
Kilifi,37.8,68.7,9562.0,34.3,1.7,18.3,80.5,70.5,56.7,30.0,35.20309477756287,73.71967654986523,61.382113821138205,71.69811320754718,57.3,65.5
Vihiga,11.1,92.5,5800.0,33.4,0.7,9.0,84.1,84.9,65.2,14.0,17.2147001934236,78.57142857142857,80.89430894308943,73.82075471698111,56.4,69.7
Kajiado,66.0,41.1,19438.0,64.7,5.5,36.4,86.5,81.8,20.3,14.0,70.2127659574468,81.80592991913747,76.69376693766937,0.0,56.3,54.9
Kakamega,12.6,78.9,5969.0,42.0,0.4,16.4,94.7,66.0,78.7,30.0,31.52804642166344,92.85714285714286,55.28455284552846,53.5377358490566,54.0,82.8
Busia,15.5,81.9,,35.4,1.6,10.2,81.6,79.6,82.2,14.0,19.535783365570598,75.2021563342318,73.71273712737127,69.10377358490565,53.9,0.0
Kwale,21.4,72.3,8400.0,27.4,2.2,9.6,73.4,68.1,26.9,,18.375241779497102,64.15094339622642,58.130081300812996,87.97169811320754,52.9,59.3
Kitui,7.3,66.1,7125.0,33.8,0.0,18.3,57.7,75.1,38.5,14.0,35.20309477756287,42.99191374663073,67.61517615176152,72.87735849056605,52.7,79.7
Tharaka-Nithi,10.8,80.9,8062.0,35.5,0.1,14.2,59.3,87.4,30.4,14.0,27.272727272727277,45.14824797843666,84.28184281842819,68.86792452830188,52.6,70.4
Isiolo,52.4,72.8,11417.0,32.6,11.0,12.3,78.1,64.7,7.2,7.0,23.597678916827856,70.48517520215633,53.5230352303523,75.70754716981133,52.0,83.2
Siaya,10.0,84.8,5070.0,34.4,0.0,9.2,73.7,77.3,59.1,14.0,17.601547388781434,64.55525606469004,70.59620596205961,71.46226415094338,51.1,85.5
Makueni,11.0,85.4,6143.0,27.1,1.2,7.8,57.3,70.6,76.0,30.0,14.893617021276597,42.45283018867924,61.51761517615175,88.67924528301889,48.2,97.7
Trans Nzoia,22.2,67.8,5889.0,43.7,3.4,15.4,84.7,56.8,79.0,30.0,29.59381044487428,79.38005390835579,42.81842818428184,49.52830188679245,47.2,76.7
Garissa,26.6,73.7,7975.0,35.5,4.4,2.2,75.8,72.4,10.7,4.0,4.061895551257254,67.38544474393531,63.956639566395665,68.86792452830188,44.9,
Nyandarua,13.0,62.8,5000.0,46.8,15.1,13.6,95.0,48.0,46.1,21.0,26.11218568665377,93.26145552560648,30.89430894308943,42.21698113207548,44.5,68.5
Baringo,15.9,86.0,4300.0,25.8,1.3,2.5,55.5,66.6,68.9,6.0,4.642166344294004,40.02695417789757,56.09756097560975,91.74528301886792,43.8,97.6
Homa Bay,12.0,85.1,7800.0,24.7,0.1,7.5,62.8,40.8,34.7,4.0,14.313346228239848,49.865229110512125,21.13821138211382,94.33962264150942,42.8,93.4
Nyamira,9.2,84.6,4625.0,41.4,1.0,7.0,75.4,65.5,33.2,4.0,13.346228239845262,66.84636118598384,54.607046070460704,54.95283018867924,42.7,76.3
Meru,11.9,77.2,7583.0,31.8,3.5,4.5,52.0,64.6,56.0,10.0,8.510638297872342,35.309973045822105,53.38753387533875,77.59433962264151,40.1,58.9
Bungoma,14.1,79.2,6533.0,42.8,0.6,8.8,69.8,59.3,63.8,5.0,16.82785299806577,59.299191374663074,46.20596205962059,51.650943396226424,39.9,68.3
Tana River,29.5,70.2,6625.0,22.3,0.8,3.1,54.0,40.1,45.5,,5.8027079303675055,38.00539083557951,20.189701897018974,100.0,38.7,99.2
Migori,18.0,82.3,6757.0,24.5,0.0,6.6,53.7,35.4,77.0,14.0,12.572533849129593,37.6010781671159,13.821138211382115,94.81132075471697,38.4,99.4
Narok,13.4,71.7,7400.0,43.2,2.8,8.6,70.0,47.0,33.7,30.0,16.44100580270793,59.56873315363882,29.539295392953928,50.70754716981132,36.3,79.9
Kisii,14.9,81.2,6250.0,54.6,0.0,12.7,64.2,63.4,40.9,,24.37137330754352,51.75202156334232,51.76151761517615,23.82075471698113,35.2,63.8
Wajir,23.6,89.3,5000.0,38.9,2.7,1.4,85.4,36.4,4.8,14.0,2.5145067698259185,80.32345013477091,15.176151761517614,60.84905660377359,35.2,
Nandi,9.3,77.6,5025.0,36.5,1.1,6.5,51.7,50.4,68.4,14.0,12.379110251450678,34.905660377358494,34.146341463414636,66.50943396226415,34.8,74.8
Samburu,19.5,74.5,5795.0,34.1,0.1,4.6,57.8,43.4,32.9,5.0,8.70406189555126,43.12668463611859,24.661246612466126,72.16981132075473,34.6,82.4
Bomet,5.0,87.4,5525.0,33.6,0.5,2.4,53.6,40.2,33.8,3.0,4.448742746615087,37.46630727762803,20.325203252032527,73.3490566037736,31.5,93.8
Turkana,18.4,86.7,5188.0,27.7,0.4,1.6,54.6,26.8,24.8,3.0,2.9013539651837528,38.81401617250674,2.168021680216804,87.26415094339622,31.0,88.5
Elgeyo-Marakwet,6.2,85.0,4938.0,29.4,1.0,3.7,34.1,44.1,35.5,30.0,6.9632495164410075,11.185983827493262,25.609756097560982,83.25471698113206,30.6,86.1
Mandera,31.6,61.0,8857.0,28.2,11.7,0.1,49.7,25.2,9.9,7.0,0.0,32.21024258760108,0.0,86.08490566037734,28.0,
Marsabit,26.4,86.6,5625.0,42.0,0.5,1.5,66.0,32.1,26.6,1.0,2.7079303675048356,54.17789757412399,9.349593495934963,53.5377358490566,27.0,80.1
Kericho,15.0,82.6,5783.0,53.2,1.1,6.6,46.8,50.6,58.1,7.0,12.572533849129593,28.301886792452823,34.41734417344174,27.122641509433958,23.7,71.7
West Pokot,7.4,90.1,4857.0,46.9,3.1,2.2,25.8,68.5,24.5,2.0,4.061895551257254,0.0,58.67208672086721,41.9811320754717,23.7,63.1
