county,value_1,value_2,value_3,value_4,value_5,value_6
Mombasa,112,174,103,167,92,96
Kwale,113,184,103,174,91.2,94.6
Kilifi,..,83,..,72,..,86.7
Tana River,7,8,7,8,100,100
Lamu,26,31,26,31,100,100
Taita-Taveta,20,16,15,12,75,75
Garissa,2,5,..,3,..,60
Wajir,31,32,30,32,96.8,100
Mandera,6,6,5,5,83.3,83.3
Marsabit,13,18,12,14,92.3,77.8
Isiolo,39,37,34,37,87.2,100
Meru,84,95,70,85,83.3,89.5
Tharaka-Nithi,46,54,41,41,89.1,75.9
Embu,169,151,131,123,77.5,81.5
Kitui,98,54,61,44,62.2,81.5
Machakos,233,220,220,215,94.4,97.7
Makueni,45,30,29,24,64.4,80
Nyandarua,69,40,62,38,89.9,95
Nyeri,59,68,50,59,84.7,86.8
Kirinyaga,140,91,121,84,86.4,92.3
Murang'a,135,90,125,72,92.6,80
Kiambu,449,287,303,243,67.5,84.7
Turkana,27,22,27,13,100,59.1
West Pokot,29,31,29,31,100,100
Samburu,22,13,11,4,50,30.8
Trans Nzoia,72,52,71,48,98.6,92.3
Uasin Gishu,53,112,47,101,88.7,90.2
Elgeyo-Marakwet,22,45,21,43,95.5,95.6
Nandi,13,13,13,11,100,84.6
Baringo,30,44,25,32,83.3,72.7
Laikipia,17,42,13,30,76.5,71.4
Nakuru,613,501,515,458,84,91.4
Narok,117,166,105,121,89.7,72.9
Kajiado,151,281,130,236,86.1,84
Kericho,40,36,39,36,97.5,100
Bomet,17,30,17,30,100,100
Kakamega,106,98,76,74,71.7,75.5
Vihiga,158,123,130,115,82.3,93.5
Bungoma,63,103,48,83,76.2,80.6
Busia,42,37,40,33,95.2,89.2
Siaya,58,50,46,35,79.3,70
Kisumu,167,117,134,113,80.2,96.6
Homa Bay,143,138,127,125,88.8,90.6
Migori,37,25,30,25,81.1,100
Kisii,17,30,46,55,270.6,183.3
Nyamira,46,37,38,35,82.6,94.6
Nairobi,3230,3074,2012,2002,62.3,65.1
