county,value_1,value_2,value_3,value_4,value_5
Mombasa,..,..,..,..,
Kwale,..,..,..,..,
Kilifi,..,..,..,..,
Tana River,14,23,10,20,
Lamu,..,..,..,..,
Taita-Taveta,..,..,..,..,
Garissa,..,..,..,..,
Wajir,..,..,..,..,
Mandera,1,2,1,2,
Marsabit,..,..,..,..,
Isiolo,1,..,1,..,
Meru,34,18,34,18,
Tharaka-Nithi,..,..,..,..,
Embu,..,..,..,..,
Kitui,7,7,7,7,
Machakos,1030,1500,331,720,
Makueni,..,..,..,..,
Nyandarua,..,..,..,..,
Nyeri,..,..,..,..,
Kirinyaga,1,2,..,..,
Murang'a,..,..,..,..,
Kiambu,..,..,..,..,
Turkana,23,29,23,29,
West Pokot,..,..,..,..,
Samburu,..,..,..,..,
Trans Nzoia,61,46,131,141,
Uasin Gishu,..,..,..,..,
Elgeyo-Marakwet,48,44,42,55,
Nandi,96,164,65,147,
Baringo,..,..,..,..,
Laikipia,..,..,..,..,
Nakuru,..,..,..,..,
Narok,..,..,..,..,
Kajiado,71,73,70,73,
Kericho,3,6,3,3,
Bomet,25,26,20,25,
Kakamega,..,..,..,..,
Vihiga,..,..,..,..,
Bungoma,30,39,30,39,
Busia,..,..,..,..,
Siaya,..,..,..,..,
Kisumu,..,..,..,..,
Homa Bay,400,520,384,519,
Migori,..,..,..,..,
Nyamira,12,3,12,3,
Nairobi,1133,428,586,336,
