county,value_1,value_2,value_3,value_4,value_5,value_6
Mombasa,560,491,425,86.55804480651732,,
Kwale,500,440,410,93.18181818181817,,
Kilifi,520,474,434,91.56118143459916,,
Tana River,480,459,450,98.0392156862745,,
Lamu,440,381,361,94.750656167979,,
Taita-Taveta,500,439,405,92.25512528473804,,
Garissa,600,471,468,99.36305732484077,,
Wajir,860,721,637,88.3495145631068,,
Mandera,760,539,503,93.32096474953617,,
Marsabit,540,488,462,94.67213114754098,,
Isiolo,440,365,335,91.78082191780823,,
Meru,580,516,412,79.84496124031007,,
Tharaka-Nithi,480,465,455,97.84946236559139,,
Embu,460,424,406,95.75471698113208,,
Kitui,680,628,573,91.2420382165605,,
Machakos,700,646,618,95.6656346749226,,
Makueni,480,448,409,91.29464285714286,,
Nyandarua,480,423,382,90.30732860520094,,
Nyeri,520,483,434,89.85507246376811,,
Kirinyaga,480,464,450,96.98275862068965,,
Kiambu,440,383,319,83.28981723237598,,
Turkana,540,422,368,87.20379146919431,,
West Pokot,560,521,517,99.23224568138195,,
Samburu,560,511,478,93.54207436399217,,
Trans Nzoia,440,395,373,94.43037974683544,,
Uasin Gishu,540,484,435,89.87603305785123,,
Elgeyo-Marakwet,460,438,391,89.26940639269407,,
Nandi,480,458,420,91.70305676855895,,
Baringo,460,414,382,92.27053140096618,,
Laikipia,480,465,445,95.6989247311828,,
Nakuru,820,738,686,92.95392953929539,,
Narok,500,484,479,98.96694214876032,,
Kajiado,560,471,411,87.26114649681529,,
Kericho,500,442,410,92.76018099547511,,
Bomet,480,452,422,93.36283185840708,,
Kakamega,580,515,480,93.20388349514563,,
Vihiga,520,467,400,85.65310492505354,,
Bungoma,580,525,462,88,,
Busia,500,457,412,90.15317286652079,,
Siaya,480,424,394,92.9245283018868,,
Kisumu,580,483,446,92.33954451345755,,
Homa Bay,480,443,422,95.25959367945825,,
Migori,440,410,403,98.29268292682927,,
Kisii,620,570,510,89.47368421052632,,
Nyamira,500,448,439,97.99107142857143,,
Nairobi,1260,1152,1059,91.92708333333334,,
