county,value_1,value_2,value_3,value_4
Mombasa,49.2,44.6,46.9,
Kwale,27.1,24.2,25.6,
Kilifi,36.2,24.9,30.5,
Tana River,21.3,9.9,15.5,
Lamu,31.6,25.9,28.8,
Taita-Taveta,40.2,35,37.6,
Garissa,18.8,14.3,16.5,
Wajir,27.6,20.8,24.2,
Mandera,32.5,17.5,24.9,
Marsabit,18.9,13.8,16.3,
Isiolo,34.2,32.1,33.1,
Meru,35.8,26.9,31.4,
Tharaka-Nithi,34.7,32.1,33.4,
Embu,37.7,36,36.8,
Kitui,27.1,25.4,26.2,
Machakos,38.1,36.6,37.3,
Makueni,32.9,27.8,30.3,
Nyandarua,42.7,40.5,41.6,
Nyeri,52.3,48,50.1,
Kirinyaga,37.9,35.4,36.6,
Murang'a,34.9,36.7,35.8,
Kiambu,50.5,57.4,54,
Uasin Gishu,50.2,34.1,42.1,
Elgeyo-Marakwet,34.8,25.8,30.3,
Nandi,26.5,22.3,24.4,
Baringo,27.2,19.7,23.4,
Laikipia,40.2,35.9,38,
Nakuru,42.7,37.5,40.1,
Narok,26.6,14.5,20.5,
Kajiado,39.1,34.9,37,
Kericho,31.9,21,26.4,
Bomet,27.4,14.1,20.6,
Kakamega,38.6,31.3,35,
Vihiga,18.6,18,18.3,
Bungoma,39,30.8,34.9,
Busia,33.2,26.4,29.7,
Siaya,30.3,24.5,27.4,
Kisumu,36.6,30.2,33.4,
Homa Bay,31.5,24.2,27.7,
Migori,36.5,24.4,30.4,
Kisii,31.1,25.1,28.1,
Nyamira,31,22.1,26.4,
Nairobi,66.7,62.8,64.7,
Migori,36.5,24.4,30.4,
Kisii,31.1,25.1,28.1,
Nyamira,31,22.1,26.4,
Nairobi,66.7,62.8,64.7,
