county,value_1,value_2,value_3
Mombasa,0,100,405415
Kwale,78.6,21.4,183739
Kilifi,62.2,37.8,407221
Tana River,70.5,29.5,74962
Lamu,69.9,30.1,40543
Taita-Taveta,68.8,31.2,108463
Garissa,73.4,26.6,180468
Wajir,76.4,23.6,152058
Mandera,68.4,31.6,167096
Marsabit,73.6,26.4,87421
Isiolo,47.6,52.4,63947
Meru,88.1,11.9,463535
Tharaka-Nithi,89.2,10.8,120886
Embu,84.6,15.4,199046
Kitui,92.7,7.3,275514
Machakos,64.3,35.7,430469
Makueni,89,11,257105
Nyandarua,87,13,198250
Nyeri,77.3,22.7,270743
Kirinyaga,75.8,24.2,217216
Murang'a,86.9,13.1,385599
Kiambu,26.2,73.8,997101
Turkana,81.6,18.4,219588
West Pokot,92.6,7.4,183115
Samburu,80.5,19.5,95708
Trans Nzoia,77.8,22.2,266538
Uasin Gishu,46.5,53.5,351899
Elgeyo-Marakwet,93.8,6.2,110356
Nandi,90.7,9.3,226515
Baringo,84.1,15.9,157303
Laikipia,70.7,29.3,154631
Nakuru,45.1,54.9,673026
Narok,86.6,13.4,263863
Kajiado,34,66,371234
Kericho,85,15,233615
Bomet,95,5,219222
Kakamega,87.4,12.6,484205
Vihiga,88.9,11.1,160520
Bungoma,85.9,14.1,470168
Busia,84.5,15.5,216855
Siaya,90,10,247647
Kisumu,56.9,43.1,338619
Homa Bay,88,12,270043
Migori,82,18,267547
Kisii,85.1,14.9,371985
Nyamira,90.8,9.2,183594
Nairobi,0,100,1661533
