county,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9
Mombasa,4.7,29.3,46.8,19.2,0,0,0,0,95292
Kwale,2.2,51.7,33.7,10.5,1.5,0,0,0.5,132836
Kilifi,1.7,37.9,47.7,7,5.8,0,0,0,278424
Tana River,0.8,47.3,6.8,36.4,8.6,0,0,0,52648
Lamu,11.9,22,13.9,40.3,7.2,4.1,0.6,0,17913
Taita-Taveta,0,47.9,39.3,9.3,3.5,0,0,0,65589
Garissa,4.4,30.6,0,57.9,7.1,0,0,0,133365
Wajir,2.7,16.6,0,47.1,32.8,0.7,0,0.1,135953
Mandera,11.7,27.4,14.1,23.4,22.5,0.9,0,0,101907
Marsabit,0.5,81.6,0.9,11.8,5.2,0,0,0,75685
Isiolo,11,65.4,0.2,11.5,9.7,0.2,0,2,46556
Meru,3.5,22.3,53.5,20.3,0.4,0,0,0,357909
Tharaka-Nithi,0.1,36.5,54.1,3.9,5.5,0,0,0,97765
Embu,1.7,62,13.6,21.4,1.3,0,0,0,157064
Kitui,0,79.6,13.5,3.2,3.7,0,0,0,182075
Machakos,0.5,51.7,36.4,8.9,2.5,0,0,0,296884
Makueni,1.2,55.6,26.4,16.6,0.3,0,0,0,218862
Nyandarua,15.1,48.8,13.8,14.8,6.9,0.5,0,0,122427
Nyeri,0.4,57.1,20.1,14.2,8.1,0,0,0,152147
Kirinyaga,1.3,29,40.1,26.1,3.5,0,0,0,154059
Murang'a,0,48.5,44.9,1.4,5.2,0,0,0,301283
Kiambu,2.9,41.7,27.7,24.6,2.7,0,0.4,0,446620
Turkana,0.4,89,2.8,2.3,3.1,0,2.4,0,190365
West Pokot,3.1,53.1,5.3,31.9,3.8,2.9,0,0,165015
Samburu,0.1,93.5,3.6,1,1.8,0,0,0,71350
Trans Nzoia,3.4,51,43.7,1.7,0.2,0,0,0,180697
Uasin Gishu,3.6,72.1,15.9,5.4,3,0,0,0,175284
Elgeyo-Marakwet,1,71.8,6.5,12.8,7.9,0,0,0,93839
Nandi,1.1,42.2,50.3,5.9,0,0.5,0,0,174117
Baringo,1.3,43.6,38.2,6.4,10.3,0.2,0,0,135314
Laikipia,1,47.2,38.4,11.5,1.5,0.5,0,0,80358
Nakuru,4.4,55.3,28.8,7.5,3.7,0,0,0.2,348276
Narok,2.8,82.3,1.1,12.2,1.6,0,0,0,189170
Kajiado,5.5,45.6,9.3,36.3,3.3,0,0,0,152568
Kericho,1.1,32.5,46.8,18.3,1.3,0,0,0,193003
Bomet,0.5,89.7,3.2,5,1.5,0,0,0,191584
Kakamega,0.4,76.1,13.2,6.6,2.9,0.9,0,0,381957
Vihiga,0.7,51.7,24.8,12.8,10,0,0,0,148481
Bungoma,0.6,49.8,37.8,4.8,7,0,0,0,372429
Busia,1.6,33.4,35.9,28.6,0.5,0,0,0,177742
Siaya,0,60,39.4,0.6,0,0,0,0,210185
Kisumu,2.7,51.8,21.8,22.5,1.2,0,0,0,213435
Homa Bay,0.1,83.6,11.8,1.6,2.8,0,0,0.1,229776
Migori,0,53.3,41.9,2,2.8,0,0,0,220319
Kisii,0,59,28,7.2,5.8,0,0,0,302057
Nyamira,1,58.6,16,15.4,8.9,0.1,0,0,155409
Nairobi,34.8,19.9,31.8,10.9,2.5,0,0,0,127901
