county,value_1
Mombasa,4.6
Kwale,1.1
Kilifi,2.4
Tana River,0.3
Lamu,0.1
Taita-Taveta,0.9
Garissa,0.4
Wajir,0.1
Mandera,0.2
Marsabit,0.2
Isiolo,0.4
Meru,3.1
Tharaka-Nithi,0.7
Embu,1.3
Kitui,1.8
Machakos,5.1
Makueni,1.8
Nyandarua,1.4
Nyeri,1.6
Kirinyaga,1.3
Murang'a,2.1
Kiambu,8.6
Turkana,0.3
West Pokot,0.2
Samburu,0.6
Trans Nzoia,2.4
Uasin Gishu,3.6
Elgeyo-Marakwet,0.2
Nandi,0.8
Baringo,0.5
Laikipia,1.7
Nakuru,6.6
Narok,0.9
Kajiado,4
Kericho,0.6
Bomet,0.5
Kakamega,3.4
Vihiga,1.7
Bungoma,2.4
Busia,1.2
Siaya,2.9
Kisumu,3.1
Homa Bay,1.5
Migori,1.3
Kisii,2.3
Nyamira,0.6
Nairobi,17.1
