county,value_1,value_2,value_3
Mombasa,39.5,60.5,405415
Kwale,66.1,33.9,183739
Kilifi,29.2,70.8,407221
Tana River,65.3,34.7,74962
Lamu,69.1,30.9,40543
Taita-Taveta,27.1,72.9,108463
Garissa,53.6,46.4,180468
Wajir,58.6,41.4,152058
Mandera,88.1,11.9,167096
Marsabit,95.2,4.8,87421
Isiolo,25.5,74.5,63947
Meru,40.8,59.2,463535
Tharaka-Nithi,37.4,62.6,120886
Embu,39.8,60.2,199046
Kitui,86.3,13.7,275514
Machakos,83,17,430469
Makueni,85.6,14.4,257105
Nyandarua,41.8,58.2,198250
Nyeri,26.8,73.2,270743
Kirinyaga,24.4,75.6,217216
Murang'a,34.5,65.5,385599
Kiambu,19,81,997101
Turkana,77.5,22.5,219588
West Pokot,77.4,22.6,183115
Samburu,91.3,8.7,95708
Trans Nzoia,78,22,266538
Uasin Gishu,47.5,52.5,351899
Elgeyo-Marakwet,42.6,57.4,110356
Nandi,64.5,35.5,226515
Baringo,67,33,157303
Laikipia,42.4,57.6,154631
Nakuru,60.1,39.9,673026
Narok,87.9,12.1,263863
Kajiado,48,52,371234
Kericho,68.1,31.9,233615
Bomet,91.5,8.5,219222
Kakamega,84.4,15.6,484205
Vihiga,89.8,10.2,160520
Bungoma,78.4,21.6,470168
Busia,85.7,14.3,216855
Siaya,77.7,22.3,247647
Kisumu,55.7,44.3,338619
Homa Bay,82.7,17.3,270043
Migori,86.7,13.3,267547
Kisii,91.8,8.2,371985
Nyamira,92.9,7.1,183594
Nairobi,17.4,82.6,1661533
