county,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16
Mombasa,11.2,41.6,25.6,0.4,0,0,17.2,0,0,96,3.4,0.6,0,0,4,0
Kwale,4.4,11.7,17.1,0,0.1,0.5,34.2,0,0.1,68.1,21,0.4,0,9.5,30.9,0.9
Kilifi,1.3,21.9,9.2,0.3,0.4,2.8,34.6,0,0,70.5,15.1,0,0,14.4,29.5,0
Tana River,0.6,1.8,6.3,0.3,0.2,8.4,22.5,0,0,40.1,9.7,0,0.4,49.8,59.9,0
Lamu,0,0.6,28.2,0,0,8.3,30.4,0,0,67.5,26.8,0,0.7,5.1,32.5,0
Taita-Taveta,5.3,9.6,4.2,0,0,7.8,66.1,0,0,93,6.7,0,0,0.2,7,0
Garissa,0.9,2.1,31.1,0,0,0,38.2,0,0,72.4,5.5,0,0,22.1,27.6,0
Wajir,0.1,3.8,1.4,0.6,0.1,0.2,29.5,0.4,0.2,36.4,4.5,9,0,50.2,63.6,0
Mandera,0,0.1,0.2,0,0,7.6,17.2,0,0,25.2,48.9,0,0,23.6,72.5,2.3
Marsabit,0,0.1,1.3,0,0,0,30.7,0,0,32.1,23.1,0,0.3,44.5,67.9,0
Isiolo,3.4,10.8,2.1,0.3,0,11.5,36.6,0,0,64.7,4.9,0,0,29.7,34.6,0.7
Meru,0.4,5.4,0.1,0,0,14.3,44.4,0,0,64.6,34.8,0,0,0.6,35.4,0
Tharaka-Nithi,0.7,4.5,4.8,0,0.9,12.3,64.2,0,0.1,87.4,11.4,0,0,1.2,12.6,0
Embu,3.5,5.5,4.7,0,1,3.4,75.4,0,0,93.4,6,0,0,0.6,6.6,0
Kitui,0.2,3.5,0.7,0,0.1,14.7,55.8,0,0,75.1,19.9,0,0,4.9,24.8,0.1
Machakos,4.5,8.2,2.4,0.5,0.1,18.8,52.9,0,0.1,87.5,10.1,0,0.3,2.1,12.5,0
Makueni,0.2,2,0,0.1,0,1.4,66.7,0.3,0,70.6,27.6,0,0,1.8,29.4,0
Nyandarua,1.7,8.2,2.8,0,0,11.4,23.9,0,0,48,51.7,0,0,0.2,52,0
Nyeri,0.6,14.9,7.4,0,0.1,10.5,39.4,0,0.5,73.4,26,0,0,0.6,26.6,0
Kirinyaga,0.6,6.8,5.9,0,0,13,43.1,0,0,69.5,30.5,0,0,0,30.5,0
Murang'a,0.2,5.5,4.3,0.4,0.1,6.7,72.3,0,0.2,89.7,9.7,0,0,0.5,10.3,0
Kiambu,8.4,21.5,3.8,0,1.8,20,43.3,0.1,0,99,1,0,0,0,1,0
Turkana,0,0.9,0,0,0.1,10.6,15.2,0,0,26.8,7,0,0,65.6,72.6,0.6
West Pokot,0,1.7,1.5,0,0,5.4,60,0,0,68.5,18.5,0,0,13,31.5,0
Samburu,0.1,0.9,0.4,0,0,17.4,24.7,0,0,43.4,14.8,0,0,41.8,56.6,0
Trans Nzoia,1.5,6.1,2.2,0,0.6,0.7,45.7,0,0,56.8,43.2,0,0,0,43.2,0
Uasin Gishu,9.1,13.4,1.4,0,0.5,20.6,31.9,0,0,76.9,22.8,0,0,0.3,23.1,0
Elgeyo-Marakwet,0.1,1,0.1,0,0,5.6,37.4,0,0,44.1,55.4,0,0,0.5,55.9,0
Nandi,1,3.7,0.7,0,0,26.9,18.1,0,0,50.4,49.6,0,0,0,49.6,0
Baringo,0.2,2.4,0.4,0.1,0,28.7,34.8,0,0,66.6,10.7,0,0.4,21.5,32.5,0.9
Laikipia,6,11.4,1.1,0.7,0,6,60.5,0,0.3,85.9,10.3,0,0,3.8,14.1,0
Nakuru,7,10.7,6.6,0,0.3,11.7,31.1,0.1,0,67.5,32.1,0,0,0.4,32.5,0
Narok,0,1.9,1.4,0,0.3,0.2,43.1,0.1,0,47,36.5,0,0.2,16.3,53,0
Kajiado,0.3,12.4,1.7,1.9,8,0.9,56.6,0,0,81.8,0.2,0,0.9,16.7,17.8,0.4
Kericho,1.2,1.1,1.4,0.4,0.3,0,46.2,0,0,50.6,48.5,0,0,0.9,49.4,0
Bomet,0.6,0.5,0.1,0.6,0,19,19.4,0,0,40.2,59,0,0,0.9,59.8,0
Kakamega,1.1,5.9,0.9,0,0,34.1,20.3,3.7,0,66,34,0,0,0,34,0
Vihiga,2,0.4,0.4,0,0,30.6,51.5,0,0,84.9,15.1,0,0,0,15.1,0
Bungoma,0.4,5.2,2.3,0.2,0,1,50.2,0,0,59.3,40,0,0,0.7,40.7,0
Busia,1,0.3,2.9,1.8,0.2,0,73.4,0,0,79.6,20,0,0,0.4,20.4,0
Siaya,2.1,1.6,1,0,0,18.5,54,0,0,77.3,15.7,0,0,7,22.7,0
Kisumu,8.3,5.9,3.3,0,0,6.6,55.6,0,0.3,79.9,16.6,0,0,2.1,18.8,1.3
Homa Bay,0.5,0.9,1,0.3,0,8.6,29.6,0,0,40.8,53.1,0.1,0,5.2,58.4,0.8
Migori,1.5,4.3,0.5,0,0,10.2,18.6,0.2,0,35.4,51.1,0,0.7,12.6,64.4,0.2
Kisii,0,4.9,0.5,0,0,17.7,40.4,0,0,63.4,36.2,0,0,0.4,36.6,0
Nyamira,0.9,0.3,3,0,0.2,2.8,52.2,6.2,0.1,65.5,34.3,0,0,0.3,34.5,0
Nairobi,63.8,10.2,3.7,0.3,2.1,5.2,12,0.1,0,97.5,1.9,0.6,0,0,2.5,0.1
