county,value_1,value_2
Mombasa,91.7,8.3
Kwale,49.7,50.3
Kilifi,41.3,58.7
Tana River,32,68
Lamu,48.1,51.9
Taita-Taveta,61.1,38.9
Garissa,27.5,72.5
Wajir,23.6,76.4
Mandera,23.3,76.7
Marsabit,27.2,72.8
Isiolo,29.5,70.5
Meru,25,75
Tharaka-Nithi,32.9,67.1
Embu,42.5,57.5
Kitui,53.8,46.2
Machakos,65.3,34.7
Makueni,64.5,35.5
Nyandarua,31,69
Nyeri,39,61
Kirinyaga,47.3,52.7
Murang'a,37.4,62.6
Kiambu,66.2,33.8
Turkana,8.3,91.7
West Pokot,13,87
Samburu,29.8,70.2
Trans Nzoia,33.2,66.8
Uasin Gishu,43.8,56.2
Elgeyo-Marakwet,15.1,84.9
Nandi,32.4,67.6
Baringo,12.9,87.1
Laikipia,41.8,58.2
Nakuru,50.2,49.8
Narok,19.2,80.8
Kajiado,51.5,48.5
Kericho,22.5,77.5
Bomet,16.2,83.8
Kakamega,33.6,66.4
Vihiga,28.3,71.7
Bungoma,27.3,72.7
Busia,35.4,64.6
Siaya,47.1,52.9
Kisumu,46.2,53.8
Homa Bay,30.1,69.9
Migori,42.2,57.8
Kisii,32.2,67.8
Nyamira,34.2,65.8
Nairobi,77.1,22.9
