county,value_1,value_2,value_3,value_4
Mombasa,72.5,22.3,3.6,1.6
Kwale,60,28.9,9.1,2
Kilifi,58.8,31.9,7.2,2.1
Tana River,93.6,5.3,0.8,0.3
Lamu,70.5,28.3,0.8,0.3
Taita-Taveta,53.5,28.6,14.4,3.5
Garissa,96.6,2.7,0.2,0.5
Wajir,92.2,0.1,7.4,0.3
Mandera,81.6,14.5,3.4,0.5
Marsabit,66.4,27,3.7,2.8
Isiolo,78,19.4,1.7,0.8
Meru,40.7,39.2,15.1,4.9
Tharaka-Nithi,64.5,22.4,9.1,4
Embu,42.4,36.6,11.6,9.3
Kitui,59.3,37.7,2.4,0.6
Machakos,34.9,39.5,22,3.7
Makueni,49.8,33.9,14.4,1.9
Nyandarua,47.6,34,17.4,1
Nyeri,36,44.7,17.3,2
Kirinyaga,46.4,35.9,10.9,6.8
Murang'a,23.4,47.7,17.7,11.2
Kiambu,66.8,25.5,7.7,0
Turkana,59.6,37.5,2.3,0.6
West Pokot,33.7,36,24.2,6.1
Samburu,69.2,21.6,8.6,0.7
Trans Nzoia,34.2,47.6,13.3,4.8
Uasin Gishu,51.3,42.3,5.9,0.5
Elgeyo-Marakwet,2.7,30.9,40.1,26.4
Nandi,10.2,68.2,17.1,4.5
Baringo,52.6,40.9,6.5,0
Laikipia,53.6,39.1,5.6,1.7
Nakuru,48.6,34.5,14,2.9
Narok,38.1,51.2,7.7,3
Kajiado,54.7,31.1,11.9,2.3
Kericho,64,27.7,8.3,0
Bomet,53.1,28.4,14.8,3.7
Kakamega,27.8,59.9,10,2.3
Vihiga,37.6,43.5,13.4,5.4
Bungoma,53.1,37.3,8.3,1.2
Busia,79.6,16.1,2.1,2.2
Siaya,27.9,63.9,8.2,0
Kisumu,65.6,29.3,3.8,1.3
Homa Bay,11,46.8,26.3,15.8
Migori,48.8,42.7,8.4,0.1
Kisii,21.5,68.1,9.1,1.3
Nyamira,18.2,50.2,26.6,4.9
Nairobi,67,30.6,2.3,0.1
