county,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11
Mombasa,100,177,427,331,710,607,173,303,180,2682,207
Kwale,501,175,295,1021,128,941,526,343,283,600,172
Kilifi,1003,.,133,3114,1625,1493,189,254,358,300,355
Tana River,1090,214,41,.,263,100,444,622,367,2000,333
Lamu,1536,37,.,.,160,.,47,363,120,883,19
Taita-Taveta,307,.,333,200,107,.,251,130,135,.,86
Garissa,714,.,.,.,.,.,.,.,194,350,126
Wajir,.,477,.,.,.,.,.,.,478,300,30
Mandera,1591,1750,.,.,675,.,.,300,430,1000,242
Marsabit,347,.,.,.,.,.,253,.,180,.,70
Isiolo,248,.,.,.,.,100,.,71,213,.,50
Meru,456,550,700,752,238,1031,1460,435,340,.,195
Tharaka-Nithi,688,500,188,2275,575,1193,1440,300,354,.,222
Embu,899,250,403,1795,100,1490,2022,778,717,.,489
Kitui,387,.,.,.,441,.,165,140,204,.,320
Machakos,406,792,144,800,98,445,325,158,256,960,191
Makueni,485,300,296,.,517,10000,333,225,241,.,442
Nyandarua,1152,357,30,3295,142,1500,1766,735,475,.,272
Nyeri,869,525,200,1169,831,1560,1471,524,523,.,745
Kirinyaga,587,925,360,869,279,1638,629,371,375,.,327
Murang'a,777,583,424,1304,432,2695,2499,785,594,.,196
Kiambu,411,0,348,750,400,374,303,308,215,.,193
Turkana,1054,.,.,.,.,.,.,252,306,800,218
West Pokot,504,480,.,.,340,.,536,446,473,1633,372
Samburu,320,312,42,100,105,.,359,146,304,203,90
Trans Nzoia,627,847,473,5740,403,3067,4297,629,403,3167,604
Uasin Gishu,428,302,271,933,.,837,1512,258,217,.,120
Elgeyo-Marakwet,557,570,541,833,1150,.,1021,318,439,.,251
Nandi,535,752,644,2496,.,1918,1592,1115,482,.,668
Baringo,805,.,.,683,250,293,619,87,288,.,172
Laikipia,611,410,367,672,1500,755,751,305,359,1500,201
Nakuru,610,556,321,1074,441,497,519,239,232,.,269
Narok,605,346,62,512,89,.,541,216,502,7000,909
Kajiado,1343,.,400,3338,.,2667,1651,788,490,.,1193
Kericho,431,645,.,1203,803,677,1020,307,406,.,288
Bomet,666,780,476,544,325,342,859,396,471,3000,429
Kakamega,329,98,153,364,.,.,478,184,190,.,122
Vihiga,197,.,.,50,.,388,250,327,276,.,273
Bungoma,1131,329,404,1450,520,4931,2664,705,362,.,259
Busia,487,179,179,930,50,.,550,241,278,.,227
Siaya,1412,125,183,525,176,.,110,628,227,.,107
Kisumu,222,143,143,386,162,631,138,215,157,375,112
Homa Bay,598,489,117,1669,178,3000,4000,1360,310,.,164
Migori,509,174,87,1188,44,658,302,268,281,.,143
Kisii,321,150,.,733,67,3000,450,178,242,1000,78
Nyamira,1101,425,1375,886,.,2633,1217,695,715,.,216
Nairobi,384,110,57,397,249,451,1345,220,146,6570,199
