county,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13
Mombasa,48.9,0,0,2,50.9,4.1,37.3,1.2,0.5,0,5.7,0.2,49.1
Kwale,13.1,0,0,0.6,13.7,0.4,26.4,2.6,3.5,0,53.4,0,86.3
Kilifi,21.8,0,0,0,21.8,0.5,12.3,1,0.5,0.4,62.5,1,78.2
Tana River,3.9,0,0,0,3.9,0,37.8,2.4,1,0,54.4,0.6,96.1
Lamu,19.2,0,0,0,19.2,0,31.4,3,12.5,0,34,0,80.8
Taita-Taveta,21.3,0,0,0.5,21.8,1.9,14.3,5.6,9.1,0,47.2,0,78.2
Garissa,1.6,0,0,0.1,1.7,0,36.4,1.6,0.5,0.8,58.9,0,98.3
Wajir,1.7,0,0,0,1.7,0,4.5,5.8,18.5,0.3,69,0,98.3
Mandera,0.8,0,0,0,0.8,0,5.4,1.8,0.6,0,91.3,0.2,99.2
Marsabit,4.9,0,0,0.3,5.2,0,9.3,0.4,0,0,84.3,0.8,94.8
Isiolo,18.6,0,0,0,18.6,0,13.6,9.9,5.7,0,52.1,0,81.4
Meru,16.3,0,0,0,16.3,0,9.6,0.7,6.6,0,66.8,0,83.7
Tharaka-Nithi,19.3,0,0,0,19.3,0.1,4.8,1.9,7.9,0,65.9,0,80.7
Embu,24.9,0,0,0,24.9,0,3.4,0.6,6.8,0,64.3,0,75.1
Kitui,24.2,0,0,0,24.2,0.4,7.9,3.1,12.9,0,51.4,0,75.8
Machakos,32.5,0,0,1.4,33.9,0.7,3.6,4.1,10.6,0,47.1,0,66.1
Makueni,9.8,0,0,0,9.8,0.3,9.7,1.1,14.8,0,64.2,0.1,90.2
Nyandarua,20.3,0,0,0.2,20.5,0,8.9,1.1,4.8,0,64.7,0,79.5
Nyeri,36.1,0,0,0.1,36.3,0.1,4.6,1.9,2.5,0,54.2,0.5,63.7
Kirinyaga,32.9,0,0,0.7,33.6,0.2,5.9,0.7,4.4,0,55.2,0,66.4
Murang'a,23.2,0,0,0.3,23.5,0.5,2.5,0.4,10.1,0,63,0,76.5
Kiambu,66.9,0,0,3,69.9,1.1,2.5,1,2.9,0,22.6,0,30.1
Turkana,3.2,0,0,0,3.2,0,15,3,0.7,0,78.1,0,96.8
West Pokot,3,0.9,0.9,0,3.9,0,6.2,1.6,34,0,54.2,0,96.1
Samburu,6.5,0,0,0,6.5,0,20.7,9.3,1,0,62.4,0,93.5
Trans Nzoia,21.5,0,0,0.1,21.6,0,11.9,2.7,1.5,0,62.3,0,78.4
Uasin Gishu,40.9,0,0,0.9,41.8,0,8.6,2.9,7.7,0.2,38.8,0,58.2
Elgeyo-Marakwet,10,0,0,0,10,0.1,14.2,3.9,5.3,0,66.5,0,90
Nandi,11.7,0,0,1.3,13,0.3,4.7,0.7,13.3,0,67.9,0,87
Baringo,4.1,0,0,0,4.1,0,5.7,4.2,1.6,0,84.5,0,95.9
Laikipia,32.9,0,0,0.5,33.4,0.2,13.6,0.4,2.1,0,50.3,0,66.6
Nakuru,32.9,0,0,0.8,33.7,0.1,19.3,3.1,2.1,2.2,39.4,0,66.3
Narok,18.2,0,0,0,18.2,0,18.5,1.7,10.2,0,51.2,0.2,81.8
Kajiado,36.2,0.8,0,5.8,42.8,0.2,22.6,9.9,0.3,0,24.1,0,57.2
Kericho,11.6,0,0,0.3,11.9,0,5.5,0.3,0.3,0,81.5,0.4,88.1
Bomet,6.4,0,0,0,6.4,0,2.3,0.8,1,0,89.5,0,93.6
Kakamega,18.4,0,0,0.3,18.8,0.1,4.7,0.7,3.4,0,72.3,0,81.2
Vihiga,11.1,0,0,0,11.1,0,1.2,1.5,3.8,0,82.4,0,88.9
Bungoma,13.3,0,0,0,13.3,0.2,8.2,1,4.1,0,73.2,0,86.7
Busia,13.3,0.3,0,0,13.6,0.1,12.8,0.9,0,0,72.5,0.1,86.4
Siaya,10.4,0,0,0.6,11,0,12.4,1.9,1.8,0,72.9,0,89
Kisumu,28,0,0,6,34,0.5,13.1,1.7,1.2,0,49.2,0.2,66
Homa Bay,18.6,0,0,0,18.6,0,5.3,2.3,5.8,0,67.9,0,81.4
Migori,10.8,0,0,0.5,11.3,0.1,18.4,2.8,2,0,65.5,0,88.7
Kisii,24.2,0,0,0.4,24.6,0,2.4,0.4,3,0.3,69.2,0,75.4
Nyamira,11.6,0,0,0,11.6,0.6,2.1,0.2,0,0,85.5,0,88.4
Nairobi,84.6,0,0,7.2,91.8,5,2.3,0.6,0,0,0.4,0,8.2
