county,value_1,value_2,value_3,value_4
Mombasa,71.1,28.9,0,782450
Kwale,66.9,33.1,0,517666
Kilifi,51.1,48.9,0,858379
Tana River,72,28,0,158531
Lamu,47,53,0,103172
Taita-Taveta,60.5,39.5,0,212006
Garissa,81.6,18.4,0,497232
Wajir,92,8,0,446582
Mandera,36,64,0,360427
Marsabit,88.5,11.5,0,236235
Isiolo,95,5,0,140195
Meru,39.3,60.7,0,965240
Tharaka-Nithi,44,56,0,234659
Embu,72.2,27.8,0,423095
Kitui,65,35,0,675990
Machakos,27.9,72.1,0,906382
Makueni,26.6,73.4,0,651569
Nyandarua,39.8,60.2,0,403392
Nyeri,53.7,46.3,0,529451
Kirinyaga,38,62,0,418563
Murang'a,29.1,70.9,0,648880
Kiambu,54.4,44.5,1.2,1562302
Turkana,61,39,0,393839
West Pokot,65.8,34.2,0,301155
Samburu,38,62,0,134807
Trans Nzoia,30.7,68.9,0.3,589829
Uasin Gishu,59,41,0,723932
Elgeyo-Marakwet,53.6,46.4,0,246373
Nandi,38.5,61.5,0,538299
Baringo,49.1,50.9,0,339062
Laikipia,26.3,73.7,0,330961
Nakuru,47.1,52.9,0,1281346
Narok,64.7,35.3,0,581781
Kajiado,83.4,16.6,0,753613
Kericho,57.1,42.9,0,528064
Bomet,55.1,44.9,0,496555
Kakamega,93.6,6.4,0,1145830
Vihiga,44.1,55.5,0.4,350577
Bungoma,50.4,49.3,0.3,896366
Busia,83.1,16.9,0,505047
Siaya,78.7,21.3,0,550475
Kisumu,54.9,44,1.1,672041
Homa Bay,63.3,36.7,0,523438
Migori,29,71,0,521546
Kisii,44.3,55.7,0,766133
Nyamira,54.3,45.7,0,325375
Nairobi,47.6,52.4,0,2956206
