col_1,"Number of completion certificate      Number of completion certificates            Proportion of completion applications received                                       issued                                         certificates issued
2022                      2023                      2022                      2023                      2022                      2023",col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26
Number,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial Only,351,546,288,347,82.1,63.6,,,,,,,,,,,,,,,,,,,
Housing Only,2263,1768,1145,1380,50.6,78.1,,,,,,,,,,,,,,,,,,,
Mixed Use,214,429,204,327,95.3,76.2,,,,,,,,,,,,,,,,,,,
Warehousing,162,187,113,83,69.8,44.4,,,,,,,,,,,,,,,,,,,
Total,2990,2930,1750,2137,58.5,72.9,,,,,,,,,,,,,,,,,,,
Proportion,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial Only,11.7,18.6,16.5,16.2,,,,,,,,,,,,,,,,,,,,,
Housing Only,75.7,60.3,65.4,64.6,,,,,,,,,,,,,,,,,,,,,
Mixed Use,7.2,14.6,11.7,15.3,,,,,,,,,,,,,,,,,,,,,
Warehousing,5.4,6.4,6.5,3.9,,,,,,,,,,,,,,,,,,,,,
Total,100,100,100,100,,,,,,,,,,,,,,,,,,,,,
Mixed Use,12.5,0.8,23,17.4,,,,,,,,,,,,,,,,,,,,,
Total,100,100,100,100,,,,,,,,,,,,,,,,,,,,,
