Indicator,Total,Male,Female,Rural,Urban
Population (15-64),31140313,15465079,15675235,20336116,10804198
Labour Force,21081871,11324308,9757562,13584413,7497458
Employed,19169953,10539237,8630716,12609022,6560931
Employment/Population Ratio (%),61.6,68.1,55.1,62,60.7
Unemployed1,1911918,785071,1126846,975391,936527
Unemployment Rate [LU1](%),9.1,6.9,11.5,7.2,12.5
Not in Labor Force (Inactive),10058442,4140771,5917672,6751703,3306740
Labour Force Participation (%),67.7,73.2,62.2,66.8,69.4
Youth (15-34yrs),19544108,9739907,9804200,12702378,6841728
Youth Not in Employment Education or Training (NEET),3954510,1392833,2561677,2249041,1705469
NEET Rate,20.2,14.3,26.1,17.7,24.9
